trade_id,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,MAE_pips,MFE_pips,position_units
1,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,378.9785880217709,HARD_CLOSE,56.800000000001205,19.158340070029567,27.641659929969364,269900
2,2025-07-09,Wednesday,short,2025-07-09 08:42:00+00:00,2025-07-09 12:00:00+00:00,146.63623719146022,146.7749754423665,147.03623719146023,146.23623719146022,145.8362371914602,40.0,-13.87382509062718,-260.79298129449046,HARD_CLOSE,45.40000000000077,14.576280853978574,9.723719146023768,275900
3,2025-07-24,Thursday,long,2025-07-24 09:01:00+00:00,2025-07-24 12:00:00+00:00,146.57543187467388,146.4740245576335,146.17543187467388,146.9754318746739,147.3754318746739,40.0,-10.14073170403833,-190.45802149604137,HARD_CLOSE,63.79999999999768,10.843187467386883,8.45681253261148,275100
4,2025-08-06,Wednesday,long,2025-08-06 08:35:00+00:00,2025-08-06 11:30:00+00:00,147.84874157512536,147.44874157512535,147.44874157512535,148.24874157512536,148.64874157512537,40.0,-40.00000000000057,-751.4475797919837,SL_FULL,44.599999999999795,39.77415751253659,3.7258424874636376,277000
5,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44484431430221,679.3825191259227,TP1_PARTIAL,46.79999999999893,1.1101778006718632,43.98982219932748,274500
6,2025-08-21,Thursday,long,2025-08-21 09:37:00+00:00,2025-08-21 12:00:00+00:00,147.66161855978237,147.9180245576335,147.26161855978236,148.06161855978235,148.46161855978238,40.0,25.640599785111817,479.12090509588745,HARD_CLOSE,32.49999999999886,2.1618559782382363,27.438144021763833,276400
7,2025-08-27,Wednesday,long,2025-08-27 10:01:00+00:00,2025-08-27 12:00:00+00:00,148.08302099454644,148.1340245576335,147.68302099454644,148.48302099454645,148.88302099454646,40.0,5.100356308705045,95.88946470712476,HARD_CLOSE,56.60000000000025,11.802099454644122,10.097900545355287,278500
8,2025-08-28,Thursday,short,2025-08-28 10:48:00+00:00,2025-08-28 12:00:00+00:00,146.91258540652578,146.9359754423665,147.31258540652578,146.51258540652577,146.11258540652577,40.0,-2.3390035840719747,-44.03063234899013,HARD_CLOSE,49.00000000000091,5.6414593474215735,10.458540652578565,276600
9,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-754.8626230360627,SL_FULL,43.59999999999786,40.73066033280952,4.869339667192207,280600
10,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-58.54759568566623,HARD_CLOSE,49.39999999999998,23.136643669019463,4.6633563309796955,277100
11,2025-09-11,Thursday,long,2025-09-11 09:03:00+00:00,2025-09-11 12:00:00+00:00,147.87843715505392,147.9580245576335,147.4784371550539,148.27843715505392,148.67843715505393,40.0,7.958740257959108,148.46185718984617,HARD_CLOSE,46.999999999999886,1.2437155053902416,11.456284494607871,276000
12,2025-09-24,Wednesday,long,2025-09-24 08:31:00+00:00,2025-09-24 12:00:00+00:00,148.190759452585,148.4960245576335,147.790759452585,148.59075945258502,148.99075945258502,40.0,30.526510504847696,569.4323087121417,HARD_CLOSE,59.30000000000177,2.2759452585006557,33.024054741497366,277000
13,2025-10-02,Thursday,short,2025-10-02 08:50:00+00:00,2025-10-02 12:00:00+00:00,146.76516148183745,146.8039754423665,147.16516148183746,146.36516148183745,145.96516148183744,40.0,-3.881396052904051,-72.94606074320116,HARD_CLOSE,48.799999999999955,9.783851816254696,16.516148183745827,275900
14,2025-10-08,Wednesday,long,2025-10-08 08:58:00+00:00,2025-10-08 12:00:00+00:00,152.7759151202235,152.6860245576335,152.37591512022348,153.1759151202235,153.5759151202235,40.0,-8.989056258999994,-168.9649824735069,HARD_CLOSE,59.00000000000034,13.191512022348206,22.70848797764984,287000
15,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,115.2727476764432,HARD_CLOSE,36.7999999999995,9.480224599934672,15.119775400063418,288200
