trade_id,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,MAE_pips,MFE_pips,position_units
1,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,378.9785880217709,HARD_CLOSE,56.800000000001205,19.158340070029567,27.641659929969364,269900
2,2025-07-09,Wednesday,short,2025-07-09 08:42:00+00:00,2025-07-09 12:00:00+00:00,146.63623719146022,146.7749754423665,147.03623719146023,146.23623719146022,145.8362371914602,40.0,-13.87382509062718,-260.79298129449046,HARD_CLOSE,45.40000000000077,14.576280853978574,9.723719146023768,275900
3,2025-07-24,Thursday,long,2025-07-24 09:01:00+00:00,2025-07-24 12:00:00+00:00,146.57543187467388,146.4740245576335,146.17543187467388,146.9754318746739,147.3754318746739,40.0,-10.14073170403833,-190.45802149604137,HARD_CLOSE,63.79999999999768,10.843187467386883,8.45681253261148,275100
4,2025-08-04,Monday,long,2025-08-04 07:33:00+00:00,2025-08-04 10:54:00+00:00,147.9936273120879,147.5936273120879,147.5936273120879,148.39362731208792,148.79362731208792,40.0,-40.00000000000057,-751.2519477927387,SL_FULL,63.99999999999864,39.96273120879152,9.637268791209408,277200
5,2025-08-06,Wednesday,long,2025-08-06 08:35:00+00:00,2025-08-06 11:30:00+00:00,147.84874157512536,147.44874157512535,147.44874157512535,148.24874157512536,148.64874157512537,40.0,-40.00000000000057,-745.7506847827303,SL_FULL,44.599999999999795,39.77415751253659,3.7258424874636376,274900
6,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133997,674.2090657011565,TP1_PARTIAL,46.79999999999893,1.1101778006718632,43.98982219932748,272400
7,2025-08-18,Monday,short,2025-08-18 07:14:00+00:00,2025-08-18 11:55:00+00:00,147.13689822199328,147.53689822199328,147.53689822199328,146.73689822199327,146.33689822199327,40.0,-40.00000000000057,-741.2383025394206,SL_FULL,35.69999999999993,41.11017780067243,1.6898221993272955,273400
8,2025-08-21,Thursday,long,2025-08-21 09:37:00+00:00,2025-08-21 12:00:00+00:00,147.66161855978237,147.9180245576335,147.26161855978236,148.06161855978235,148.46161855978238,40.0,25.640599785111817,472.013829441426,HARD_CLOSE,32.49999999999886,2.1618559782382363,27.438144021763833,272300
9,2025-08-27,Wednesday,long,2025-08-27 10:01:00+00:00,2025-08-27 12:00:00+00:00,148.08302099454644,148.1340245576335,147.68302099454644,148.48302099454645,148.88302099454646,40.0,5.100356308705045,94.47780651933586,HARD_CLOSE,56.60000000000025,11.802099454644122,10.097900545355287,274400
10,2025-08-28,Thursday,short,2025-08-28 10:48:00+00:00,2025-08-28 12:00:00+00:00,146.91258540652578,146.9359754423665,147.31258540652578,146.51258540652577,146.11258540652577,40.0,-2.3390035840719747,-43.37797293962332,HARD_CLOSE,49.00000000000091,5.6414593474215735,10.458540652578565,272500
11,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-743.5638952500631,SL_FULL,43.59999999999786,40.73066033280952,4.869339667192207,276400
12,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-57.68131945935359,HARD_CLOSE,49.39999999999998,23.136643669019463,4.6633563309796955,273000
13,2025-09-11,Thursday,long,2025-09-11 09:03:00+00:00,2025-09-11 12:00:00+00:00,147.87843715505392,147.9580245576335,147.4784371550539,148.27843715505392,148.67843715505393,40.0,7.958740257959107,146.2564455431854,HARD_CLOSE,46.999999999999886,1.2437155053902416,11.456284494607871,271900
14,2025-09-15,Monday,short,2025-09-15 10:27:00+00:00,2025-09-15 12:00:00+00:00,147.25267114752032,147.4219754423665,147.65267114752032,146.8526711475203,146.4526711475203,40.0,-16.930429484617093,-311.45509090150415,HARD_CLOSE,35.20000000000039,22.532885247969148,0.4671147520326713,271200
15,2025-09-22,Monday,short,2025-09-22 07:27:00+00:00,2025-09-22 12:00:00+00:00,147.91051864399228,147.8499754423665,148.31051864399228,147.51051864399227,147.11051864399226,40.0,6.054320162576232,111.17674651087091,HARD_CLOSE,38.09999999999718,21.948135600771938,16.85186439922859,271500
