trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc,tp1_hit,be_triggered,be_trigger_time_utc,price_at_be_trigger
1,ARB,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.044128438787645,941.4843975296219,TP1_ONLY,50.19999999999811,,3.5216721956260244,64.07832780437559,268700,282,7,True,True,2025-07-01 07:46:00+00:00,143.22678327804374
2,ARB,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 10:25:00+00:00,143.9715834007003,143.9815834007003,143.9815834007003,144.3715834007003,144.7715834007003,40.0,0.9999999999990905,18.919086286310936,BE_STOP,56.800000000001205,,19.158340070029567,27.641659929969364,272400,174,7,False,True,2025-07-02 09:11:00+00:00,144.0915834007003
3,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133997,691.5345556420818,TP1_ONLY,46.79999999999893,,1.1101778006718632,43.98982219932748,279400,286,7,True,True,2025-08-13 07:24:00+00:00,147.50089822199328
4,ARB,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-764.2782295243957,SL_FULL,43.59999999999786,,40.73066033280952,4.869339667192207,284100,27,7,False,False,,
5,ARB,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-59.28709978129897,HARD_CLOSE,49.39999999999998,,23.136643669019463,4.6633563309796955,280600,277,7,False,False,,
6,ARB,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 09:11:00+00:00,153.68219775400064,153.67219775400065,153.67219775400065,153.28219775400063,152.88219775400063,40.0,0.9999999999990905,18.90387488729548,BE_STOP,36.7999999999995,,7.980224599936037,15.119775400063418,290500,44,8,False,True,2025-11-06 08:56:00+00:00,153.56219775400064
7,ARB,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 09:42:00+00:00,154.54708487977652,154.53708487977653,154.53708487977653,154.14708487977651,153.7470848797765,40.0,0.9999999999990904,18.908082822129963,BE_STOP,39.400000000000546,,4.091512022347388,22.408487977651248,292200,44,8,False,True,2025-11-13 09:09:00+00:00,154.42708487977652
8,ARB,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37394501587795,911.9154946960127,TP1_ONLY,36.69999999999902,,11.376778126523845,62.52322187347659,294400,270,8,True,True,2025-11-19 09:39:00+00:00,155.79076778126523
9,ARB,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 11:02:00+00:00,156.42456812532612,156.41456812532613,156.41456812532613,156.0245681253261,155.6245681253261,40.0,0.9999999999990905,19.083900149285164,BE_STOP,45.79999999999984,,1.743187467388907,28.056812532611275,298500,121,9,False,True,2025-11-25 09:20:00+00:00,156.3045681253261
10,ARB,2025-11-27,Thursday,long,2025-11-27 09:06:00+00:00,2025-11-27 13:00:00+00:00,156.38443455978435,156.36624668158277,155.98443455978435,156.78443455978436,157.18443455978436,40.0,-1.8187878201587182,-34.70865976853336,HARD_CLOSE,58.19999999999936,,13.343455978434804,1.9565440215643548,298400,234,9,False,False,,
11,ARB,2025-12-02,Tuesday,long,2025-12-02 08:27:00+00:00,2025-12-02 09:54:00+00:00,155.92580224599936,155.93580224599935,155.93580224599935,156.32580224599937,156.72580224599938,40.0,0.9999999999990906,19.078364026396127,BE_STOP,37.79999999999859,,3.3802245999368097,16.019775400064873,297500,87,8,False,True,2025-12-02 09:22:00+00:00,156.04580224599937
12,ARB,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 10:39:00+00:00,154.89081177782597,154.88081177782598,154.88081177782598,154.49081177782597,154.09081177782596,40.0,0.9999999999990905,19.079187189670805,BE_STOP,52.00000000000102,,16.718822217401907,14.881177782598343,295500,148,8,False,True,2025-12-04 10:05:00+00:00,154.77081177782597
13,ARB,2025-12-09,Tuesday,long,2025-12-09 08:05:00+00:00,2025-12-09 09:00:00+00:00,156.28437484378267,156.29437484378266,156.29437484378266,156.68437484378268,157.08437484378268,40.0,0.9999999999990905,19.085779657641655,BE_STOP,45.599999999998886,,5.437484378268209,14.962515621732564,298300,55,8,False,True,2025-12-09 08:38:00+00:00,156.40437484378268
14,ARB,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.425255322871976,735.2870063623184,TP1_ONLY,37.10000000000093,,14.974157512534703,80.22584248746512,303400,265,8,True,True,2026-01-14 09:15:00+00:00,158.81825842487464
15,ARB,2026-02-03,Tuesday,long,2026-02-03 09:16:00+00:00,2026-02-03 13:00:00+00:00,155.70231809653956,155.86724668158277,155.71231809653955,156.10231809653956,156.50231809653957,40.0,16.49285850432136,316.80561127004785,HARD_CLOSE,32.30000000000075,,9.031809653956202,28.268190346045685,299400,224,9,False,True,2026-02-03 09:52:00+00:00,155.82231809653956
