trade_id,system_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,gross_pips,spread_at_entry,net_pips,pnl_usd,spread_cost_usd,signal_candle_datetime,signal_candle_body_pips,signal_candle_range_pips,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,position_units,hour_utc,day_of_week,session_range_at_entry,compression_range_pips,three_candle_total_pips,equity_after,drawdown_usd,drawdown_pct
1,3,2023-06-21 00:01:00+00:00,2023-06-21 00:02:00+00:00,long,141.377,141.407,141.327,141.407,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,9.195272215427707,12.024586743243884,2023-06-21 00:00:00+00:00,4.200000000000159,4.399999999998272,5.49999999999784,0.0,1.0,1.0,100000,0,Wednesday,,,5.60000000000116,100009.19527221542,0.0,0.0
2,3,2023-06-21 00:27:00+00:00,2023-06-21 00:32:00+00:00,long,141.536,141.566,141.486,141.566,TP hit,3.0000000000001137,1.8000000000000682,1.2000000000000455,8.47840832014502,12.717612480217529,2023-06-21 00:26:00+00:00,3.8999999999987267,4.900000000000659,3.3999999999991815,2.199999999999136,5.0,5.0,100000,0,Wednesday,,,6.299999999998818,100017.67368053558,0.0,0.0
3,3,2023-06-21 00:54:00+00:00,2023-06-21 00:59:00+00:00,long,141.634,141.664,141.58399999999997,141.664,TP hit,3.0000000000001137,1.4999999999986358,1.500000000001478,10.590677379735643,10.590677379715574,2023-06-21 00:53:00+00:00,3.900000000001569,4.200000000000159,6.700000000000728,4.199999999997317,5.0,5.0,100000,0,Wednesday,,,7.900000000003615,100028.26435791531,0.0,0.0
4,3,2023-06-21 01:38:00+00:00,2023-06-21 01:40:00+00:00,short,141.538,141.58800000000002,141.58800000000002,141.508,SL hit,-5.000000000001137,1.6999999999995907,-6.700000000000728,-47.33711088188845,12.010908731221232,2023-06-21 01:37:00+00:00,4.999999999998295,5.19999999999925,0.0,5.49999999999784,,2.0,100000,1,Wednesday,,,9.299999999998931,99980.92724703343,47.337110881882836,0.04732373513200623
5,3,2023-06-21 01:53:00+00:00,2023-06-21 02:02:00+00:00,short,141.597,141.567,141.64700000000002,141.567,TP hit,3.0000000000001137,1.5999999999991132,1.4000000000010004,9.887215124621289,11.299674428124277,2023-06-21 01:52:00+00:00,2.199999999999136,3.3999999999991815,3.300000000001546,2.199999999999136,9.0,9.0,100000,1,Wednesday,,,4.79999999999734,99990.81446215804,37.44989575726504,0.03743931377561847
6,3,2023-06-21 02:07:00+00:00,2023-06-21 02:27:00+00:00,short,141.524,141.53,141.574,141.494,Time stop,-0.6000000000000227,1.500000000001478,-2.1000000000015007,-14.838472626561577,10.598909018975425,2023-06-21 02:06:00+00:00,1.6999999999995907,2.0999999999986585,0.0,4.800000000000182,,20.0,100000,2,Wednesday,,,4.399999999998272,99975.97598953148,52.28836838382995,0.05227359358824297
7,3,2023-06-21 04:10:00+00:00,2023-06-21 04:12:00+00:00,long,141.696,141.726,141.646,141.726,TP hit,3.0000000000001137,1.700000000002433,1.2999999999976808,9.174570912359423,11.997515808508588,2023-06-21 04:09:00+00:00,3.999999999999204,4.400000000001114,3.3999999999991815,0.8000000000009777,2.0,2.0,100000,4,Wednesday,,,6.000000000000227,99985.15056044384,43.11379747146566,0.0431016150767131
8,3,2023-06-21 04:29:00+00:00,2023-06-21 04:36:00+00:00,short,141.716,141.686,141.76600000000002,141.686,TP hit,3.0000000000001137,1.8000000000000682,1.2000000000000455,8.467639504361154,12.701459256541732,2023-06-21 04:28:00+00:00,1.300000000000523,1.5999999999991132,3.900000000001569,1.8000000000000682,7.0,7.0,100000,4,Wednesday,,,4.600000000002069,99993.6181999482,34.64615796710132,0.03463636822001875
9,3,2023-06-22 00:05:00+00:00,2023-06-22 00:10:00+00:00,short,141.672,141.722,141.722,141.642,SL hit,-5.000000000001137,2.0999999999986585,-7.099999999999795,-50.11576034784429,14.822971370480113,2023-06-22 00:04:00+00:00,2.2999999999996135,3.3999999999991815,0.0,5.299999999999727,,5.0,100000,0,Thursday,,,6.4999999999969305,99943.50243960036,84.76191831495089,0.08473796767247779
10,3,2023-06-22 00:27:00+00:00,2023-06-22 00:46:00+00:00,short,141.807,141.857,141.857,141.777,SL hit,-5.000000000001137,1.8000000000000682,-6.800000000001205,-47.952498818825624,12.693308510863838,2023-06-22 00:26:00+00:00,1.6999999999995907,1.6999999999995907,0.899999999998613,6.500000000002615,1.0,19.0,100000,0,Thursday,,,4.400000000001114,99895.54994078154,132.71441713377135,0.13267691685512042
