trade_id,system_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,gross_pips,spread_at_entry,net_pips,pnl_usd,spread_cost_usd,signal_candle_datetime,signal_candle_body_pips,signal_candle_range_pips,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,position_units,hour_utc,day_of_week,session_range_at_entry,compression_range_pips,three_candle_total_pips,equity_after,drawdown_usd,drawdown_pct
1,2,2023-06-21 00:01:00+00:00,2023-06-21 00:02:00+00:00,short,141.377,141.42700000000002,141.42700000000002,141.347,SL hit,-5.000000000001137,1.6999999999995907,-6.700000000000728,-47.39101834103657,12.024586743243884,2023-06-21 00:00:00+00:00,4.200000000000159,4.399999999998272,0.0,5.49999999999784,,1.0,100000,0,Wednesday,,,5.60000000000116,99952.60898165897,0.0,0.0
2,2,2023-06-21 00:27:00+00:00,2023-06-21 00:38:00+00:00,short,141.536,141.586,141.586,141.506,SL hit,-5.000000000001137,1.8000000000000682,-6.800000000001205,-48.044313814161804,12.717612480217529,2023-06-21 00:26:00+00:00,3.8999999999987267,4.900000000000659,2.199999999999136,6.399999999999295,3.0,11.0,100000,0,Wednesday,,,6.299999999998818,99904.5646678448,48.04431381417089,0.0480670932991723
3,2,2023-06-21 00:54:00+00:00,2023-06-21 00:55:00+00:00,short,141.634,141.60399999999998,141.684,141.60399999999998,TP hit,3.0000000000001137,1.4999999999986358,1.500000000001478,10.590677379735643,10.590677379715574,2023-06-21 00:53:00+00:00,3.900000000001569,4.200000000000159,4.199999999997317,0.0,1.0,1.0,100000,0,Wednesday,,,7.900000000003615,99915.15534522454,37.45363643442397,0.037471394509868784
4,2,2023-06-21 01:38:00+00:00,2023-06-21 01:39:00+00:00,long,141.538,141.568,141.488,141.568,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,9.184812559175082,12.010908731221232,2023-06-21 01:37:00+00:00,4.999999999998295,5.19999999999925,3.299999999998704,0.0,1.0,1.0,100000,1,Wednesday,,,9.299999999998931,99924.3401577837,28.26882387525984,0.028282227110697125
5,2,2023-06-21 01:53:00+00:00,2023-06-21 02:05:00+00:00,long,141.597,141.547,141.547,141.627,SL hit,-5.000000000001137,1.5999999999991132,-6.60000000000025,-46.61115701604024,11.299674428124277,2023-06-21 01:52:00+00:00,2.199999999999136,3.3999999999991815,2.199999999999136,5.60000000000116,7.0,12.0,100000,1,Wednesday,,,4.79999999999734,99877.72900076768,74.87998089128814,0.07491548410209925
6,2,2023-06-21 04:10:00+00:00,2023-06-21 04:14:00+00:00,short,141.696,141.746,141.746,141.666,SL hit,-5.000000000001137,1.700000000002433,-6.70000000000357,-47.28432700996196,11.997515808508588,2023-06-21 04:09:00+00:00,3.999999999999204,4.400000000001114,0.8000000000009777,6.299999999998818,1.0,4.0,100000,4,Wednesday,,,6.000000000000227,99830.44467375771,122.16430790125742,0.12222223026081713
7,2,2023-06-21 04:29:00+00:00,2023-06-21 04:49:00+00:00,long,141.716,141.722,141.666,141.746,Time stop,0.6000000000000227,1.8000000000000682,-1.2000000000000455,-8.467639504361154,12.701459256541732,2023-06-21 04:28:00+00:00,1.300000000000523,1.5999999999991132,1.8000000000000682,3.900000000001569,1.0,20.0,100000,4,Wednesday,,,4.600000000002069,99821.97703425334,130.63194740562176,0.13069388456842818
8,2,2023-06-21 05:13:00+00:00,2023-06-21 05:20:00+00:00,long,141.776,141.806,141.726,141.806,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,9.169393973595833,11.990745965463764,2023-06-21 05:12:00+00:00,0.30000000000143245,2.000000000001023,3.3999999999991815,1.0000000000019327,7.0,7.0,100000,5,Wednesday,,,7.600000000002183,99831.14642822694,121.4625534320221,0.12152014306531023
9,2,2023-06-22 00:05:00+00:00,2023-06-22 00:07:00+00:00,long,141.672,141.702,141.62199999999999,141.702,TP hit,3.0000000000001137,2.0999999999986585,0.9000000000014552,6.352702015934378,14.822971370480113,2023-06-22 00:04:00+00:00,2.2999999999996135,3.3999999999991815,3.999999999999204,0.0,2.0,2.0,100000,0,Thursday,,,6.4999999999969305,99837.49913024288,115.10985141608398,0.1151644290117593
10,2,2023-06-22 00:27:00+00:00,2023-06-22 00:30:00+00:00,long,141.807,141.837,141.75699999999998,141.837,TP hit,3.0000000000001137,1.8000000000000682,1.2000000000000455,8.462205673909226,12.693308510863838,2023-06-22 00:26:00+00:00,1.6999999999995907,1.6999999999995907,3.4000000000020236,0.899999999998613,3.0,3.0,100000,0,Thursday,,,4.400000000001114,99845.96133591679,106.64764574218134,0.10669821111097849
11,2,2023-06-22 01:04:00+00:00,2023-06-22 01:24:00+00:00,long,141.83,141.82,141.78,141.86,Time stop,-1.0000000000019327,1.8000000000000682,-2.800000000002001,-19.74194458155539,12.691250088134161,2023-06-22 01:03:00+00:00,3.3999999999991815,4.400000000001114,1.2000000000000455,3.0000000000001137,6.0,20.0,100000,1,Thursday,,,4.999999999998295,99826.21939133524,126.38959032372804,0.1264495160370653
12,2,2023-06-22 01:33:00+00:00,2023-06-22 01:44:00+00:00,long,141.77,141.72,141.72,141.8,SL hit,-5.000000000001137,2.000000000001023,-7.00000000000216,-49.37574945335515,14.107356986675766,2023-06-22 01:32:00+00:00,2.200000000001978,4.600000000002069,1.3999999999981583,5.60000000000116,7.0,11.0,100000,1,Thursday,,,5.299999999999727,99776.84364188187,175.76533977709187,0.17584867625550857
13,2,2023-06-22 02:15:00+00:00,2023-06-22 02:16:00+00:00,long,141.64,141.67,141.58999999999997,141.67,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,9.178198249085874,12.002259248796886,2023-06-22 02:14:00+00:00,3.6000000000001364,3.8999999999987267,7.400000000001228,0.0,1.0,1.0,100000,2,Thursday,,,5.400000000000205,99786.02184013097,166.58714152799803,0.16666612630248234
