trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
1,2023-06-22 01:00:00+00:00,2023-06-22 01:31:00+00:00,short,141.8739073354009,141.8039073354009,141.9739073354009,141.8039073354009,TP_Hit_7,6.999999999999318,246.81971503939616,246.81971503939616,500000,IB_High,1,141.896,1.2999999999976808,C,1,wide,Morning_Active,55.780933062881374,141.8099781420765,7.090693692930472,2.2175025189056896,31.0,31.0,Thursday,1,31.0,True,2023-06,Thursday,100246.8197150394,0.0,0.0
3,2023-06-22 02:13:00+00:00,2023-06-22 02:26:00+00:00,long,141.68531561447068,141.75531561447067,141.5853156144707,141.75531561447067,TP_Hit_7,6.999999999999318,246.90432135317906,246.90432135317906,500000,IB_Low,1,141.666,1.099999999999568,C,1,wide,Morning_Active,45.167286245351825,141.7901641791045,7.633948779320576,5.564430614109028,13.0,13.0,Thursday,2,13.0,True,2023-06,Thursday,100493.72403639258,0.0,0.0
2,2023-06-22 02:10:00+00:00,2023-06-22 02:29:00+00:00,long,141.6972650616433,141.72064756585544,141.5972650616433,141.7672650616433,Trailing_Stop,2.3382504212150934,82.49505140486123,82.49505140486123,500000,IB_Low,1,141.666,2.2999999999996135,C,1,wide,Morning_Active,45.167286245351825,141.79252671755725,6.439004062059439,6.759375331370165,16.0,19.0,Thursday,2,19.0,True,2023-06,Thursday,100576.21908779744,0.0,0.0
4,2023-06-22 06:25:00+00:00,2023-06-22 07:03:00+00:00,short,141.85820347994445,141.95820347994444,141.95820347994444,141.78820347994446,SL_Hit_10,-9.999999999999432,-352.2163480116248,-352.2163480116248,500000,IB_High,1,141.896,2.9999999999972715,"B,C",2,wide,Afternoon_Active,63.70967741935415,141.75959240069085,2.230473470123684,10.559916093535548,5.0,38.0,Thursday,6,38.0,False,2023-06,Thursday,100224.0027397858,352.2163480116287,0.3501984377680408
5,2023-06-22 06:34:00+00:00,2023-06-22 07:03:00+00:00,short,141.8610396841436,141.9610396841436,141.9610396841436,141.7910396841436,SL_Hit_10,-9.999999999999432,-352.20931116906957,-352.20931116906957,500000,IB_High,1,141.896,2.6999999999986812,"B,C",2,wide,Afternoon_Active,65.38461538461475,141.76172405063292,0.9121366670058251,10.276295673619984,21.0,29.0,Thursday,6,29.0,False,2023-06,Thursday,99871.79342861674,704.4256591806916,0.7003898790088413
6,2023-06-22 08:07:00+00:00,2023-06-22 08:23:00+00:00,short,141.85890247397037,141.9389024739704,141.9389024739704,141.80890247397036,SL_Hit_8,-8.00000000000125,-281.8113942183095,-281.8113942183095,500000,IB_High,1,141.896,2.7999999999991587,"B,C",2,wide,Late_Session,63.777089783281205,141.7777855191257,0.6757169618083481,9.822751825268483,4.0,16.0,Thursday,8,16.0,False,2023-06,Thursday,99589.98203439843,986.2370533990033,0.9805867255141827
7,2023-06-22 08:10:00+00:00,2023-06-22 08:23:00+00:00,short,141.86686389837337,141.94686389837338,141.94686389837338,141.81686389837336,SL_Hit_8,-8.00000000000125,-281.7955881620899,-281.7955881620899,500000,IB_High,1,141.896,1.999999999998181,"B,C",2,wide,Late_Session,63.777089783281205,141.77837949762392,1.4718594021076115,9.02660938496922,1.0,13.0,Thursday,8,13.0,False,2023-06,Thursday,99308.18644623634,1268.0326415610907,1.2607678565190135
8,2023-06-23 01:05:00+00:00,2023-06-23 01:09:00+00:00,long,142.97634636521164,142.87634636521165,142.87634636521165,143.04634636521163,SL_Hit_10,-9.999999999999432,-349.95295772884805,-349.95295772884805,500000,IB_Low,1,142.95,1.8000000000000682,C,1,wide,Morning_Active,48.552338530066365,143.07029292929292,1.533281511245832,11.46485461287341,2.0,4.0,Friday,1,4.0,False,2023-06,Friday,98958.2334885075,1617.9855992899393,1.6087158713706746
9,2023-06-23 04:11:00+00:00,2023-06-23 04:26:00+00:00,short,143.1269597276306,143.10410237343004,143.2269597276306,143.0569597276306,Trailing_Stop,2.285735420056767,79.86267976064522,79.86267976064522,500000,IB_High,1,143.157,2.200000000001978,C,1,wide,Afternoon_Active,48.567119155354064,143.01876851851853,6.084407620406296,2.3118993862993875,14.0,15.0,Friday,4,15.0,True,2023-06,Friday,99038.09616826814,1538.122919529298,1.5293107391386451
10,2023-06-23 04:20:00+00:00,2023-06-23 04:26:00+00:00,short,143.129940501167,143.10410237343004,143.229940501167,143.059940501167,Trailing_Stop,2.5838127736960814,90.27738306738489,90.27738306738489,500000,IB_High,1,143.157,1.9000000000005457,"A,C",2,wide,Afternoon_Active,54.28134556574797,143.02203575989782,6.38248497404561,2.013822032660073,5.0,6.0,Friday,4,6.0,True,2023-06,Friday,99128.37355133552,1447.845536461915,1.4395505712916354
11,2023-06-23 05:11:00+00:00,2023-06-23 05:18:00+00:00,short,143.1359749944649,143.2359749944649,143.2359749944649,143.0659749944649,SL_Hit_10,-9.999999999999432,-349.0743160154376,-349.0743160154376,500000,IB_High,1,143.157,1.300000000000523,"B,C",2,wide,Afternoon_Active,63.65159128978362,143.0289123931624,2.4098655730995233,12.178390624433177,4.0,7.0,Friday,5,7.0,False,2023-06,Friday,98779.29923532008,1796.9198524773528,1.786624978324888
12,2023-06-23 05:14:00+00:00,2023-06-23 05:18:00+00:00,short,143.1220853985705,143.2220853985705,143.2220853985705,143.0520853985705,SL_Hit_10,-9.999999999999432,-349.1081690428745,-349.1081690428745,500000,IB_High,1,143.157,2.7000000000015234,"B,C",2,wide,Afternoon_Active,63.65159128978362,143.02994814814815,1.020905983659759,13.567350213872942,1.0,4.0,Friday,5,4.0,False,2023-06,Friday,98430.19106627721,2146.028021520222,2.1337330444355427
