trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
1,2024-10-24 01:24:00+00:00,2024-10-24 01:34:00+00:00,short,152.75540349051568,152.68540349051568,152.85540349051567,152.68540349051568,TP_Hit_7,6.999999999999318,229.22950851795522,229.22950851795522,500000,IB_High,1,152.769,0.49999999999954525,C,1,wide,Morning_Active,45.22471910112467,152.6389294117647,7.997265722559632,4.814519272554207,10.0,10.0,Thursday,1,10.0,True,2024-10,Thursday,100229.22950851795,0.0,0.0
2,2024-10-24 01:27:00+00:00,2024-10-24 01:36:00+00:00,short,152.7414726372929,152.6714726372929,152.8414726372929,152.6714726372929,TP_Hit_7,6.999999999999318,229.2504250820148,229.2504250820148,500000,IB_High,1,152.769,1.9000000000005457,C,1,wide,Morning_Active,45.22471910112467,152.64323484848484,8.00518273098021,5.198795546863266,9.0,9.0,Thursday,1,9.0,True,2024-10,Thursday,100458.47993359997,0.0,0.0
3,2024-10-24 01:39:00+00:00,2024-10-24 01:43:00+00:00,short,152.73157984517965,152.66157984517966,152.83157984517965,152.66157984517966,TP_Hit_7,6.999999999999318,229.26528099271292,229.26528099271292,500000,IB_High,1,152.769,2.899999999999636,C,1,wide,Morning_Active,52.784503631960916,152.65205666666668,7.713552474757535,2.284377879374233,4.0,4.0,Thursday,1,4.0,True,2024-10,Thursday,100687.74521459268,0.0,0.0
4,2024-10-24 02:21:00+00:00,2024-10-24 02:43:00+00:00,long,152.54294697725763,152.44294697725763,152.44294697725763,152.61294697725762,SL_Hit_10,-9.999999999999432,-327.9915600651335,-327.9915600651335,500000,IB_Low,1,152.517,1.9000000000005457,"B,C,D",3,wide,Morning_Active,38.05522208883437,152.64749061032865,3.0319080381019603,11.057556299647331,16.0,22.0,Thursday,2,22.0,False,2024-10,Thursday,100359.75365452755,327.9915600651293,0.32575122162691306
5,2024-10-24 02:24:00+00:00,2024-10-24 02:46:00+00:00,long,152.5259269591358,152.4259269591358,152.4259269591358,152.5959269591358,SL_Hit_10,-9.999999999999432,-328.0281839020849,-328.0281839020849,500000,IB_Low,1,152.517,0.20000000000095497,"B,C,D",3,wide,Morning_Active,38.05522208883437,152.64516781609194,4.73390985028459,10.351071430372372,13.0,22.0,Thursday,2,22.0,False,2024-10,Thursday,100031.72547062546,656.0197439672193,0.6515388169325519
6,2024-10-29 05:21:00+00:00,2024-10-29 05:46:00+00:00,long,152.81442600592604,152.88442600592603,152.71442600592604,152.88442600592603,TP_Hit_7,6.999999999999318,174.97524567322827,174.97524567322827,382157,PTS_Low,1,152.77,3.7999999999982492,C,1,volatile,Afternoon_Active,51.92982456140277,153.00800414078677,7.149735271036661,6.502823365329391,25.0,25.0,Tuesday,5,25.0,True,2024-10,Tuesday,100206.70071629868,481.0444982939953,0.4777587354536145
7,2024-10-29 05:24:00+00:00,2024-10-29 05:46:00+00:00,long,152.80745117712223,152.87745117712223,152.70745117712224,152.87745117712223,TP_Hit_7,6.999999999999318,174.97498678863658,174.97498678863658,382139,PTS_Low,1,152.77,3.099999999997749,C,1,volatile,Afternoon_Active,51.92982456140277,153.00609538461538,7.8472181514172235,5.805340484948829,22.0,22.0,Tuesday,5,22.0,True,2024-10,Tuesday,100381.67570308733,306.06951150535315,0.30397891109095415
9,2024-10-30 00:12:00+00:00,2024-10-30 00:31:00+00:00,long,153.13462038052822,153.1230684849298,153.03462038052822,153.2046203805282,Trailing_Stop,-1.155189559841574,-37.72095123457072,-37.72095123457072,500000,PTS_Mid,2,153.10399999999998,1.8000000000029104,"B,C",2,unknown,IB_Formation_PTS,38.837209302327906,153.17666666666668,5.344810440158199,7.51826300988796,18.0,19.0,Wednesday,0,19.0,False,2024-10,Wednesday,100343.95475185275,343.7904627399257,0.34144221027813837
10,2024-10-30 00:38:00+00:00,2024-10-30 00:42:00+00:00,long,153.12891250413278,153.14705951247126,153.0289125041328,153.19891250413278,Trailing_Stop,1.8147008338473825,59.247002182879186,59.247002182879186,500000,PTS_Mid,2,153.10399999999998,1.6000000000019554,"A,B,C",3,unknown,IB_Formation_PTS,32.413793103447134,153.14425641025642,5.614700833845632,3.182940636560261,4.0,4.0,Wednesday,0,4.0,True,2024-10,Wednesday,100403.20175403563,284.5434605570481,0.28259989331433477
8,2024-10-30 00:06:00+00:00,2024-10-30 00:44:00+00:00,long,153.1386429680255,153.2086429680255,153.0386429680255,153.2086429680255,TP_Hit_7,6.999999999999318,228.44664192542362,228.44664192542362,500000,PTS_Mid,2,153.10399999999998,2.200000000001978,"B,C",2,unknown,IB_Formation_PTS,38.837209302327906,153.21328571428572,7.0391878489317605,7.92052175961544,38.0,38.0,Wednesday,0,38.0,True,2024-10,Wednesday,100631.64839596105,56.09681863163132,0.0557136506653058
