trade_id,entry_datetime,exit_datetime,equity_after
1,2025-06-27 01:30:00+00:00,2025-06-27 01:31:00+00:00,100075.94817005847
2,2025-06-27 01:41:00+00:00,2025-06-27 01:48:00+00:00,99729.79543809062
3,2025-06-27 01:44:00+00:00,2025-06-27 01:49:00+00:00,99383.55881575576
4,2025-06-27 03:46:00+00:00,2025-06-27 03:51:00+00:00,99625.85839766053
5,2025-06-27 06:02:00+00:00,2025-06-27 06:05:00+00:00,99868.12816186744
6,2025-06-30 00:05:00+00:00,2025-06-30 00:08:00+00:00,100110.18928351613
7,2025-06-30 01:19:00+00:00,2025-06-30 01:24:00+00:00,99763.96926279625
8,2025-06-30 01:22:00+00:00,2025-06-30 01:25:00+00:00,99417.69163833694
9,2025-06-30 02:01:00+00:00,2025-06-30 02:08:00+00:00,99070.76811155034
10,2025-06-30 02:05:00+00:00,2025-06-30 02:08:00+00:00,98723.84926092559
11,2025-07-01 00:00:00+00:00,2025-07-01 00:02:00+00:00,98375.82195819385
13,2025-07-01 01:03:00+00:00,2025-07-01 01:08:00+00:00,98480.34005640598
12,2025-07-01 01:00:00+00:00,2025-07-01 01:20:00+00:00,98131.8837775722
14,2025-07-01 01:09:00+00:00,2025-07-01 01:20:00+00:00,97783.42012034536
15,2025-07-01 01:59:00+00:00,2025-07-01 02:07:00+00:00,97856.00694173815
16,2025-07-01 02:02:00+00:00,2025-07-01 02:07:00+00:00,97918.32594818306
17,2025-07-01 03:39:00+00:00,2025-07-01 03:58:00+00:00,97570.84512267819
18,2025-07-01 03:42:00+00:00,2025-07-01 03:58:00+00:00,97223.36455375823
19,2025-07-02 07:03:00+00:00,2025-07-02 07:17:00+00:00,97252.03216676865
21,2025-07-03 01:04:00+00:00,2025-07-03 01:07:00+00:00,96904.04342566319
20,2025-07-03 01:00:00+00:00,2025-07-03 01:30:00+00:00,97147.87626369162
22,2025-07-03 01:24:00+00:00,2025-07-03 02:08:00+00:00,97391.57366624702
23,2025-07-03 01:35:00+00:00,2025-07-03 02:08:00+00:00,97635.28288397392
24,2025-07-03 02:08:00+00:00,2025-07-03 02:22:00+00:00,97287.39707761475
25,2025-07-04 01:16:00+00:00,2025-07-04 01:27:00+00:00,97529.32700732167
26,2025-07-04 01:55:00+00:00,2025-07-04 02:26:00+00:00,97771.23489175091
27,2025-07-04 01:58:00+00:00,2025-07-04 02:27:00+00:00,98013.14624377343
28,2025-07-07 00:33:00+00:00,2025-07-07 00:39:00+00:00,98071.72929888693
29,2025-07-07 01:14:00+00:00,2025-07-07 01:39:00+00:00,98314.1469159959
30,2025-07-07 01:45:00+00:00,2025-07-07 01:54:00+00:00,97968.2548125557
31,2025-07-07 01:48:00+00:00,2025-07-07 01:54:00+00:00,97622.3842366152
33,2025-07-07 01:57:00+00:00,2025-07-07 02:21:00+00:00,97276.66644493128
32,2025-07-07 01:54:00+00:00,2025-07-07 02:22:00+00:00,96930.95595335575
34,2025-07-09 01:08:00+00:00,2025-07-09 01:10:00+00:00,96590.86409622704
35,2025-07-09 01:37:00+00:00,2025-07-09 01:41:00+00:00,96829.22272556211
36,2025-07-09 06:56:00+00:00,2025-07-09 07:11:00+00:00,96488.49614998043
37,2025-07-09 06:59:00+00:00,2025-07-09 07:17:00+00:00,96147.69504252047
38,2025-07-09 07:17:00+00:00,2025-07-09 07:36:00+00:00,96244.46811455664
39,2025-07-09 07:20:00+00:00,2025-07-09 07:37:00+00:00,96414.78786163186
40,2025-07-11 00:35:00+00:00,2025-07-11 00:53:00+00:00,96073.56188020362
41,2025-07-11 00:38:00+00:00,2025-07-11 00:53:00+00:00,95732.38481178679
42,2025-07-15 01:56:00+00:00,2025-07-15 02:19:00+00:00,95969.35964928305
43,2025-07-15 01:59:00+00:00,2025-07-15 02:19:00+00:00,96206.32810843394
44,2025-07-15 05:26:00+00:00,2025-07-15 06:25:00+00:00,96285.12102122777
45,2025-07-15 05:29:00+00:00,2025-07-15 06:25:00+00:00,96387.55121094179
46,2025-07-15 07:05:00+00:00,2025-07-15 07:21:00+00:00,96556.79256612012
47,2025-07-15 07:09:00+00:00,2025-07-15 07:21:00+00:00,96726.03168858067
49,2025-07-18 00:04:00+00:00,2025-07-18 00:09:00+00:00,96961.79722503023
48,2025-07-18 00:01:00+00:00,2025-07-18 00:10:00+00:00,97197.51984038675
51,2025-07-18 03:35:00+00:00,2025-07-18 04:04:00+00:00,96861.28649153614
50,2025-07-18 03:32:00+00:00,2025-07-18 04:07:00+00:00,96525.05558869275
53,2025-07-18 05:33:00+00:00,2025-07-18 06:10:00+00:00,96581.1697087391
52,2025-07-18 05:30:00+00:00,2025-07-18 06:24:00+00:00,96609.6268384556
55,2025-07-18 06:32:00+00:00,2025-07-18 06:56:00+00:00,96844.98348548099
54,2025-07-18 06:29:00+00:00,2025-07-18 07:00:00+00:00,96858.29038122755
56,2025-07-21 00:03:00+00:00,2025-07-21 00:15:00+00:00,96521.02515369735
57,2025-07-21 00:06:00+00:00,2025-07-21 00:18:00+00:00,96183.71008733698
58,2025-07-21 01:01:00+00:00,2025-07-21 01:12:00+00:00,96242.89175643587
59,2025-07-21 01:04:00+00:00,2025-07-21 01:12:00+00:00,96315.79372195814
61,2025-07-21 01:32:00+00:00,2025-07-21 02:48:00+00:00,95979.21570637311
