trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
1,A,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,0.02,50.04179270360352,2511.0914341039115,TP1_PARTIAL,50.19999999999811,,3.5216721956260244,64.07832780437559,716700,282,1,False,31.13231502284059,7
2,A,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,0.02,20.24411569331903,1036.1181922981282,HARD_CLOSE,56.800000000001205,13.899999999998158,19.158340070029567,27.641659929969364,737900,269,1,False,31.40432723237731,7
3,D,2025-07-16,Wednesday,long,2025-07-16 08:31:00+00:00,2025-07-16 09:40:00+00:00,148.86675945258503,148.66675945258504,148.66675945258504,149.06675945258502,149.26675945258503,20.0,0.0075,-19.999999999998863,-777.5779900338936,SL_FULL,56.89999999999884,7.999999999998408,20.475945258502293,3.124054741496707,578000,69,1,False,25.181015082774483,8
4,D,2025-07-30,Wednesday,long,2025-07-30 08:31:00+00:00,2025-07-30 12:00:00+00:00,148.02475945258502,148.3030245576335,148.034759452585,148.224759452585,148.42475945258502,20.0,0.0075,23.913255252423937,919.9497206661016,TP1_PARTIAL,,16.800000000000637,16.975945258502634,33.524054741499754,570400,209,1,False,24.896319062397442,8
5,D,2025-08-05,Tuesday,long,2025-08-05 08:31:00+00:00,2025-08-05 12:00:00+00:00,147.47475945258503,147.6240245576335,147.48475945258502,147.67475945258502,147.87475945258504,20.0,0.0075,17.46325525242298,678.1728535194862,TP1_PARTIAL,,17.600000000001614,2.3759452585039753,30.42405474149632,573400,209,1,False,24.713048652090468,8
6,D,2025-08-06,Wednesday,long,2025-08-06 08:31:00+00:00,2025-08-06 10:50:00+00:00,147.76875945258502,147.56875945258503,147.56875945258503,147.968759452585,148.16875945258502,20.0,0.0075,-19.999999999998863,-783.7702263611958,SL_FULL,44.599999999999795,10.099999999999909,19.47594525850036,11.72405474149798,578300,139,1,False,24.811644007903823,8
7,D,2025-08-12,Tuesday,long,2025-08-12 08:31:00+00:00,2025-08-12 12:00:00+00:00,148.38475945258503,148.4330245576335,148.24,148.52951890517005,148.67427835775507,14.475945258502065,0.0075,4.826510504847192,258.9282490513104,HARD_CLOSE,31.60000000000025,6.19999999999834,3.2759452585025883,11.124054741497957,796300,209,1,False,34.566822716684776,8
8,A,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,0.02,36.44613898133997,1896.8936415321818,TP1_PARTIAL,46.79999999999893,,1.1101778006718632,43.98982219932748,766400,286,1,False,33.01509417890189,7
9,D,2025-08-19,Tuesday,long,2025-08-19 08:35:00+00:00,2025-08-19 12:00:00+00:00,147.69274157512535,147.7040245576335,147.503,147.88248315025072,148.0722247253761,18.97415751253675,0.0075,1.1282982508134864,47.15501235075653,HARD_CLOSE,54.09999999999968,11.50000000000091,9.274157512535908,12.925842487464934,617300,205,1,False,26.127808275450874,8
10,D,2025-08-20,Wednesday,long,2025-08-20 08:31:00+00:00,2025-08-20 10:33:00+00:00,147.56375945258503,147.36375945258504,147.36375945258504,147.76375945258502,147.96375945258504,20.0,0.0075,-19.999999999998863,-794.3608417350259,SL_FULL,,12.79999999999859,19.57594525850368,5.9240547414958655,585300,122,1,False,24.74070977417059,8
