trade_id,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes
1,2025-07-01,Tuesday,short,2025-07-01 07:32:00+00:00,2025-07-01 12:00:00+00:00,143.27639396365734,142.7459754423665,143.26639396365735,142.87639396365734,142.47639396365733,40.0,46.52092606454232,875.0241192405618,TP1_PARTIAL,50.19999999999811,7.860603634264862,57.03939636573523,268600,268
2,2025-07-02,Wednesday,long,2025-07-02 07:33:00+00:00,2025-07-02 12:00:00+00:00,144.0316273120879,144.1740245576335,143.6316273120879,144.4316273120879,144.8316273120879,40.0,14.23972455455953,269.04298333653213,HARD_CLOSE,56.800000000001205,25.16273120878907,21.637268791209863,272400,267
3,2025-08-13,Wednesday,short,2025-08-13 07:15:00+00:00,2025-08-13 12:00:00+00:00,147.54587036267,147.2919754423665,147.94587036267,147.14587036267,146.74587036267,40.0,25.38949203035088,482.3059673656067,HARD_CLOSE,46.79999999999893,5.112963733000697,36.487036266998985,279800,285
4,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-764.0092121961576,SL_FULL,43.59999999999786,40.73066033280952,4.869339667192207,284000,27
5,2025-09-04,Thursday,long,2025-09-04 07:56:00+00:00,2025-09-04 12:00:00+00:00,148.4196161340308,148.3380245576335,148.0196161340308,148.8196161340308,149.21961613403082,40.0,-8.159157639730097,-154.3407120686541,HARD_CLOSE,49.39999999999998,28.161613403079855,0.0,280600,244
6,2025-11-06,Thursday,short,2025-11-06 08:55:00+00:00,2025-11-06 13:00:00+00:00,153.62910984694966,153.62075331841723,154.02910984694967,153.22910984694963,152.82910984694965,40.0,0.8356528532431184,15.77516853716996,HARD_CLOSE,36.7999999999995,14.789015305032647,9.81098469496544,290000,245
7,2025-11-13,Thursday,short,2025-11-13 09:08:00+00:00,2025-11-13 13:00:00+00:00,154.46157496476835,154.62175331841723,154.86157496476835,154.06157496476834,153.6615749647683,40.0,-16.01783536488881,-302.1827443850056,HARD_CLOSE,39.400000000000546,30.442503523164532,13.85749647683383,291700,232
8,2025-11-25,Tuesday,short,2025-11-25 09:03:00+00:00,2025-11-25 13:00:00+00:00,156.3795628449461,156.31175331841723,156.7795628449461,155.9795628449461,155.57956284494608,40.0,6.780952652886185,127.71352240820138,HARD_CLOSE,45.79999999999984,14.243715505389789,23.556284494608803,294400,237
9,2025-12-02,Tuesday,long,2025-12-02 08:31:00+00:00,2025-12-02 13:00:00+00:00,155.970759452585,155.99824668158277,155.570759452585,156.37075945258502,156.77075945258505,40.0,2.7487228997756574,51.8034368798743,HARD_CLOSE,37.79999999999859,7.875945258501815,11.524054741499867,294000,269
10,2025-12-04,Thursday,short,2025-12-04 08:21:00+00:00,2025-12-04 13:00:00+00:00,154.84608771308385,154.6817533184172,155.24608771308385,154.44608771308384,154.04608771308384,40.0,16.433439466663913,310.2217437623602,HARD_CLOSE,52.00000000000102,21.191228691614583,33.708771308386076,292000,279
11,2025-12-09,Tuesday,long,2025-12-09 08:25:00+00:00,2025-12-09 13:00:00+00:00,156.3388330369719,156.34424668158275,155.9388330369719,156.7388330369719,157.1388330369719,40.0,0.5413644610882784,10.242500826784603,HARD_CLOSE,45.599999999998886,36.083303697188285,9.5166963028106,295800,275
12,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,38.424731629929795,728.7336261297801,TP1_PARTIAL,37.10000000000093,14.974157512534704,80.22584248746512,300700,265
