trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
1,ARB,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.044128438787645,941.4843975296219,TP1_ONLY,50.19999999999811,,3.5216721956260244,64.07832780437559,268700,282,7
2,ARB,2025-07-02,Wednesday,long,2025-07-02 07:24:00+00:00,2025-07-02 12:00:00+00:00,143.95139594866575,144.1740245576335,143.55139594866574,144.35139594866575,144.75139594866576,40.0,22.262860896773873,420.6307846984573,HARD_CLOSE,56.800000000001205,,17.139594866574726,29.660405133424206,272400,276,7
3,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44487200771478,694.2329390752874,TP1_ONLY,46.79999999999893,,1.1101778006718632,43.98982219932748,280500,286,7
4,ARB,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-767.2374201350145,SL_FULL,43.59999999999786,,40.73066033280952,4.869339667192207,285200,27,7
5,ARB,2025-09-04,Thursday,long,2025-09-04 07:22:00+00:00,2025-09-04 12:00:00+00:00,148.3493366127014,148.3380245576335,147.9493366127014,148.7493366127014,149.1493366127014,40.0,-1.1312055067890014,-21.48205709309909,HARD_CLOSE,49.39999999999998,,21.13366127013876,6.666338729860399,281700,278,7
6,ARB,2025-09-09,Tuesday,short,2025-09-09 08:27:00+00:00,2025-09-09 11:53:00+00:00,146.75519775400065,146.74519775400066,146.74519775400066,146.35519775400064,145.95519775400064,40.0,20.49999999999983,390.21024702259643,BE_STOP,61.69999999999902,,1.5802245999338993,44.819775400065964,278600,206,8
7,ARB,2025-09-17,Wednesday,long,2025-09-17 07:23:00+00:00,2025-09-17 10:02:00+00:00,146.66936643669018,146.26936643669018,146.26936643669018,147.0693664366902,147.4693664366902,40.0,-40.00000000000057,-764.3432300528356,SL_FULL,39.19999999999959,,39.43664366901771,1.263356330980514,279500,159,7
8,ARB,2025-11-06,Thursday,short,2025-11-06 08:05:00+00:00,2025-11-06 13:00:00+00:00,153.71462515621732,153.62075331841723,154.11462515621733,153.31462515621732,152.9146251562173,40.0,9.387183780009423,177.6357859144532,HARD_CLOSE,36.7999999999995,,8.13748437826689,18.362515621731745,290700,295,8
9,ARB,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071394,-141.39613841383672,HARD_CLOSE,39.400000000000546,,21.891512022347115,22.408487977651248,292800,242,8
10,ARB,2025-11-19,Wednesday,long,2025-11-19 08:28:00+00:00,2025-11-19 13:00:00+00:00,155.65378917980436,156.23824668158278,155.66378917980435,156.05378917980437,156.45378917980437,40.0,49.22600679523315,928.3270260521026,TP1_ONLY,36.69999999999902,,9.678917980437518,64.22108201956291,294500,272,8
11,ARB,2025-11-25,Tuesday,short,2025-11-25 08:51:00+00:00,2025-11-25 13:00:00+00:00,156.4631507054714,156.31175331841723,156.8631507054714,156.0631507054714,155.6631507054714,40.0,15.13973870541747,289.40587186451415,HARD_CLOSE,45.79999999999984,,5.8849294528585006,31.91507054714009,298800,249,8
12,ARB,2025-11-27,Thursday,long,2025-11-27 08:57:00+00:00,2025-11-27 13:00:00+00:00,156.36890756830337,156.36624668158277,155.96890756830336,156.76890756830338,157.16890756830338,40.0,-0.2660886720605049,-5.094894205470403,HARD_CLOSE,58.19999999999936,,11.79075683033659,3.509243169662568,299400,243,8
13,ARB,2025-12-02,Tuesday,long,2025-12-02 08:24:00+00:00,2025-12-02 13:00:00+00:00,155.89685070545548,155.99824668158277,155.49685070545547,156.29685070545548,156.6968507054555,40.0,10.13959761272929,194.0194811020926,HARD_CLOSE,37.79999999999859,,2.085070545547296,18.9149294544535,298500,276,8
14,ARB,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,401.67746229501427,HARD_CLOSE,52.00000000000102,,16.718822217401907,38.18117778259875,297200,289,8
15,ARB,2025-12-09,Tuesday,long,2025-12-09 08:04:00+00:00,2025-12-09 13:00:00+00:00,156.26340508979925,156.34424668158277,155.86340508979924,156.66340508979926,157.06340508979926,40.0,8.084159178352479,155.63936405283408,HARD_CLOSE,45.599999999998886,,28.540508979924084,17.059491020074802,301000,296,8
16,ARB,2025-12-30,Tuesday,short,2025-12-30 08:29:00+00:00,2025-12-30 13:00:00+00:00,155.85722231052333,155.96375331841722,156.25722231052333,155.45722231052332,155.05722231052331,40.0,-10.653100789389214,-205.32476483510266,HARD_CLOSE,42.00000000000159,,15.477768947667414,11.322231052332654,300600,271,8
17,ARB,2026-01-06,Tuesday,short,2026-01-06 08:09:00+00:00,2026-01-06 13:00:00+00:00,156.17274943390052,156.51075331841722,156.57274943390053,155.77274943390051,155.3727494339005,40.0,-33.800388451669505,-649.1820244389713,HARD_CLOSE,56.60000000000025,,36.52505660994905,0.0,300600,291,8
18,ARB,2026-01-14,Wednesday,short,2026-01-14 08:06:00+00:00,2026-01-14 12:00:00+00:00,159.0086558582319,158.20865585823188,158.9986558582319,158.60865585823188,158.20865585823188,40.0,60.00000000000086,1152.696511841907,TP2_FULL,37.10000000000093,,18.434414176812197,87.26558582318944,304200,234,8
19,ARB,2026-02-03,Tuesday,long,2026-02-03 09:15:00+00:00,2026-02-03 13:00:00+00:00,155.68133761146356,155.86724668158277,155.28133761146356,156.08133761146357,156.48133761146357,40.0,18.590907011920876,359.25323063092344,HARD_CLOSE,32.30000000000075,,6.933761146356687,30.3662388536452,301200,225,9
20,ARB,2026-02-18,Wednesday,long,2026-02-18 08:45:00+00:00,2026-02-18 13:00:00+00:00,153.77678727858628,153.6742466815828,153.37678727858628,154.1767872785863,154.5767872785863,40.0,-10.254059700349671,-199.17695298006012,HARD_CLOSE,64.50000000000102,,22.278727858628145,8.12127214137206,298500,255,8
