trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc,tp1_hit,be_triggered,be_trigger_time_utc,price_at_be_trigger,margin_used_pct,trail_activated,trail_highest_mfe_pips,trail_stop_final_level
1,ARB,2025-07-01,Tuesday,short,2025-07-01 07:18:00+00:00,2025-07-01 12:00:00+00:00,143.34678327804374,142.7459754423665,143.33678327804375,142.94678327804374,142.54678327804373,40.0,50.043194014335256,1255.40580484448,TP1_ONLY_HARD_CLOSE,50.19999999999811,,3.5216721956260244,64.07832780437559,358300,282,7,True,True,2025-07-01 08:54:00+00:00,142.94678327804374,7.166,False,0.0,
2,ARB,2025-07-02,Wednesday,long,2025-07-02 07:31:00+00:00,2025-07-02 12:00:00+00:00,143.9715834007003,144.1740245576335,143.5715834007003,144.3715834007003,144.7715834007003,40.0,20.24411569331903,511.67023888526614,HARD_CLOSE_NO_TP1,56.800000000001205,,19.158340070029567,27.641659929969364,364400,269,7,False,False,,,7.197640404549455,False,0.0,
3,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.445192546980806,929.3645882735615,TP1_ONLY_HARD_CLOSE,46.79999999999893,,1.1101778006718632,43.98982219932748,375500,286,7,True,True,2025-08-13 08:53:00+00:00,147.22089822199328,7.379596910864296,False,0.0,
