time,open,high,low,close
2026-02-03T20:11:00.000000000Z,155.765,155.774,155.754,155.768
2026-02-03T20:12:00.000000000Z,155.768,155.768,155.758,155.766
2026-02-03T20:13:00.000000000Z,155.764,155.768,155.762,155.768
2026-02-03T20:14:00.000000000Z,155.768,155.782,155.766,155.781
2026-02-03T20:15:00.000000000Z,155.781,155.788,155.780,155.780
2026-02-03T20:16:00.000000000Z,155.780,155.790,155.779,155.788
2026-02-03T20:17:00.000000000Z,155.788,155.794,155.782,155.792
2026-02-03T20:18:00.000000000Z,155.792,155.796,155.784,155.792
2026-02-03T20:19:00.000000000Z,155.793,155.794,155.774,155.780
2026-02-03T20:20:00.000000000Z,155.779,155.782,155.777,155.781
2026-02-03T20:21:00.000000000Z,155.782,155.794,155.780,155.794
2026-02-03T20:22:00.000000000Z,155.794,155.799,155.792,155.796
2026-02-03T20:23:00.000000000Z,155.796,155.806,155.793,155.804
2026-02-03T20:24:00.000000000Z,155.803,155.804,155.798,155.802
2026-02-03T20:25:00.000000000Z,155.802,155.810,155.802,155.808
2026-02-03T20:26:00.000000000Z,155.808,155.810,155.796,155.798
2026-02-03T20:27:00.000000000Z,155.798,155.800,155.788,155.793
2026-02-03T20:28:00.000000000Z,155.794,155.803,155.792,155.800
2026-02-03T20:29:00.000000000Z,155.800,155.805,155.792,155.794
2026-02-03T20:30:00.000000000Z,155.792,155.793,155.776,155.778
2026-02-03T20:31:00.000000000Z,155.778,155.780,155.765,155.766
2026-02-03T20:32:00.000000000Z,155.766,155.771,155.758,155.768
2026-02-03T20:33:00.000000000Z,155.770,155.774,155.756,155.757
2026-02-03T20:34:00.000000000Z,155.758,155.763,155.743,155.746
2026-02-03T20:35:00.000000000Z,155.747,155.754,155.744,155.752
2026-02-03T20:36:00.000000000Z,155.753,155.753,155.739,155.742
2026-02-03T20:37:00.000000000Z,155.740,155.746,155.718,155.718
2026-02-03T20:38:00.000000000Z,155.719,155.722,155.698,155.708
2026-02-03T20:39:00.000000000Z,155.710,155.736,155.710,155.734
2026-02-03T20:40:00.000000000Z,155.734,155.770,155.734,155.764
2026-02-03T20:41:00.000000000Z,155.765,155.768,155.744,155.750
2026-02-03T20:42:00.000000000Z,155.752,155.752,155.732,155.732
2026-02-03T20:43:00.000000000Z,155.734,155.734,155.716,155.729
2026-02-03T20:44:00.000000000Z,155.730,155.756,155.729,155.752
2026-02-03T20:45:00.000000000Z,155.752,155.754,155.740,155.744
2026-02-03T20:46:00.000000000Z,155.744,155.746,155.721,155.722
2026-02-03T20:47:00.000000000Z,155.722,155.736,155.721,155.732
2026-02-03T20:48:00.000000000Z,155.733,155.734,155.720,155.731
