ema5,ema9,ema21,signal_rate,signals,precision,capture,quality,horizon_bars,target_pips
0.55,0.28,0.18,0.3006461421512733,15029,0.41007385720939515,0.15662803700315137,0.4099963201512424,8,1.2
0.55,0.22,0.18,0.30078617295805077,15036,0.41008246874168663,0.15670427976008947,0.4099881279867205,8,1.2
0.55,0.18,0.18,0.3008261817599872,15038,0.41002792924591036,0.15670427976008947,0.4099287874347119,8,1.2
0.55,0.45,0.12,0.29814559203024665,14904,0.4098899624261943,0.15525566737826574,0.40966743346982387,8,1.2
0.55,0.35,0.18,0.2996259177018944,14978,0.40966751235144877,0.15594185219070855,0.4096226224756761,8,1.2
0.55,0.45,0.15,0.29332453139690734,14663,0.41042078701493556,0.1529429704178103,0.4096197307825644,8,1.2
0.45,0.45,0.22,0.29918582088059376,14956,0.40966836052420436,0.15571312391989428,0.4095706590298756,8,1.2
0.55,0.45,0.1,0.3004460981415911,15019,0.40961448831480124,0.1563484802277117,0.40956095653781033,8,1.2
0.55,0.55,0.05,0.2628178199203825,13138,0.4139138377226366,0.13820270407644608,0.40945197611308254,8,1.2
0.55,0.55,0.1,0.2602572565964512,13010,0.41414296694850117,0.13693199146081123,0.4093738377400753,8,1.2
0.55,0.55,0.08,0.26137750305067114,13066,0.4139752028164702,0.13746569075937787,0.4093405031825508,8,1.2
0.55,0.55,0.12,0.25895697053351735,12945,0.41405948242564694,0.1362203923960557,0.409134318889669,8,1.2
0.35,0.35,0.35,0.26225769669327254,13110,0.41365369946605646,0.1378214902917556,0.4091246230692492,8,1.2
0.55,0.45,0.08,0.3026665866490628,15130,0.40931923331130204,0.15739046457253228,0.4089992429134145,8,1.2
0.45,0.35,0.28,0.287003140690952,14347,0.4105387885969192,0.1496899461217851,0.4089791654798335,8,1.2
0.55,0.55,0.15,0.25657644681830005,12826,0.4141587400592546,0.13500050828504626,0.40894791367745065,8,1.2
0.45,0.28,0.28,0.28770329472483946,14382,0.410374078709498,0.14999491714953747,0.4088984740764787,8,1.2
0.55,0.22,0.22,0.28504270939606713,14249,0.41055512667555616,0.14867337602927722,0.40876025180308423,8,1.2
0.55,0.28,0.22,0.2849626917921943,14245,0.41053001053001054,0.14862254752465182,0.40872553354507385,8,1.2
0.45,0.45,0.18,0.310108223809238,15502,0.4098825957940911,0.1614821591948765,0.4086696089369825,8,1.2
0.55,0.45,0.05,0.3052871631758987,15261,0.4092785531747592,0.1587374199451052,0.40864409359365134,8,1.2
0.55,0.22,0.15,0.311328492268299,15563,0.40988241341643644,0.1621175155026939,0.40852299434424055,8,1.2
