trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,adx_m15,combo,sl_pips,R,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,ema20_m5,roc10_m5
1,strat_a_meanrev,2025-06-27 17:42:00+00:00,2025-06-27 18:30:00+00:00,short,strat_a_window,144.81799999999998,144.764,144.79799999999997,144.66799999999998,134.82799999999997,partial_tp_then_be,10.199999999998964,704.9388599827408,1000000,48.0,100000.0,100704.93885998274,16.59999999999684,9.600000000003206,2025-06-27,strat_a_meanrev,0.0075,144.37033333333332,144.83408133333333,143.9065853333333,144.79369598286647,144.50680401713348,77.52293577981531,16.8949748538109,ABCD,2.000000000001023,5.099999999996872,,,,,,,
2,strat_b_breakout,2025-07-08 01:25:00+00:00,2025-07-08 02:00:00+00:00,long,strat_b_window,146.21200000000002,146.278,146.037288,146.42167857142857,156.20200000000003,session_close,6.599999999997408,133.08918634375885,294970,35.0,100704.93885998274,100838.0280463265,6.599999999997408,17.4000000000035,2025-07-08,strat_b_breakout,0.0034999999999999996,,,,,,,32.392338883481266,,17.471200000002796,0.37776454965865836,146.158,145.842,146.0,31.599999999997408,wide_30_40,146.0848516086029,0.0013423921976877839
3,strat_b_breakout,2025-07-09 01:15:00+00:00,2025-07-09 01:38:00+00:00,long,strat_b_window,146.93200000000002,146.74239,146.74239,147.08575000000002,156.92200000000003,sl_hit,-18.961000000001604,-353.3880546037474,273493,23.0,100838.0280463265,100484.63999172274,1.1999999999972033,20.20000000000266,2025-07-09,strat_b_breakout,0.0034999999999999996,,,,,,,38.045818491719494,,18.961000000001604,-1.0,146.878,146.523,146.70049999999998,35.49999999999898,wide_30_40,146.82685244648857,0.0005856794562716241
4,strat_b_breakout,2025-07-10 00:20:00+00:00,2025-07-10 01:02:00+00:00,short,strat_b_window,146.01,145.871,146.23044,145.89932142857143,136.01999999999998,partial_tp_then_trail,12.200724011979476,194.81829647154018,232948,42.0,100484.63999172274,100679.45828819428,24.59999999999809,1.6000000000019554,2025-07-10,strat_b_breakout,0.0034999999999999996,,,,,,,25.838915102655086,,22.04399999999964,0.5534714213382178,146.49,146.07,146.28,42.00000000000159,over_40,146.13731783394613,-0.0006433420937362714
5,strat_a_meanrev,2025-07-10 18:02:00+00:00,2025-07-10 22:00:00+00:00,long,strat_a_window,146.323,146.236,146.14578133333333,146.41307526881718,156.31300000000002,session_close,-8.70000000000175,-370.91130091093106,623455,238.0,100679.45828819428,100308.54698728335,0.0,16.200000000000614,2025-07-10,strat_a_meanrev,0.0075,146.58333333333334,146.94088533333334,146.22578133333334,146.51866492573475,146.31363507426522,33.15217391304519,27.046193673069663,ABC,17.72186666666755,-0.49091894006658343,,,,,,,
6,strat_a_meanrev,2025-07-10 18:21:00+00:00,2025-07-10 22:00:00+00:00,long,strat_a_window,146.25900000000001,146.236,146.14578133333333,146.38621428571426,156.24900000000002,session_close,-2.3000000000024556,-153.41926064733687,975453,219.0,100308.54698728335,100155.12772663601,4.199999999997317,9.800000000001319,2025-07-10,strat_a_meanrev,0.0075,146.58333333333334,146.94088533333334,146.22578133333334,146.53015134111644,146.23934865888356,28.535353535357473,26.253029716183935,ABCD,11.321866666668257,-0.2031467131452528,,,,,,,
7,strat_a_meanrev,2025-07-23 18:30:00+00:00,2025-07-23 20:01:00+00:00,long,strat_a_window,146.419,146.48899999999998,146.43900000000002,146.52506611570251,156.40900000000002,partial_tp_then_be,8.803305785123428,387.20293582223525,644410,91.0,100155.12772663601,100542.33066245825,15.499999999997272,5.100000000001614,2025-07-23,strat_a_meanrev,0.0075,146.95633333333333,147.58434133333333,146.32832533333334,146.63134720352184,146.4230527964782,34.71074380165186,10.70431278246537,ABC,2.000000000001023,4.401652892559462,,,,,,,
8,strat_a_meanrev,2025-07-24 20:37:00+00:00,2025-07-24 21:46:00+00:00,short,strat_a_window,146.963,147.102728,147.102728,146.86831854838707,136.97299999999998,sl_hit,-13.97280000000194,-753.3507708709207,793112,69.0,100542.33066245825,99788.97989158733,0.5999999999971806,16.700000000003,2025-07-24,strat_a_meanrev,0.0075,146.601,147.022728,146.179272,146.97686206490013,146.8558379350999,66.84636118598212,23.393225668823817,ABC,13.97280000000194,-1.0,,,,,,,
9,strat_a_meanrev,2025-07-24 20:56:00+00:00,2025-07-24 21:46:00+00:00,short,strat_a_window,146.99499999999998,147.102728,147.102728,146.87691385767795,137.00499999999997,sl_hit,-10.772800000003713,-732.3317620597567,1000000,50.0,99788.97989158733,99056.64812952757,0.3999999999962256,13.500000000004775,2025-07-24,strat_a_meanrev,0.0075,146.601,147.022728,146.179272,147.01241428451024,146.84158571548974,71.51702786377625,26.437874327507895,ABCD,10.772800000003713,-1.0,,,,,,,
10,strat_a_meanrev,2025-07-25 20:27:00+00:00,2025-07-27 21:04:00+00:00,short,strat_a_window,147.649,147.749,147.749,147.589,137.659,sl_hit,-9.999999999999432,-676.8235318005153,1000000,2917.0,99056.64812952757,98379.82459772706,0.0,12.300000000001887,2025-07-25,strat_a_meanrev,0.0075,146.69266666666667,147.17704266666667,146.20829066666667,147.68555400957933,147.52094599042067,73.50427350427267,34.007736912239366,ABCDE,9.999999999999432,-1.0,,,,,,,
11,strat_b_breakout,2025-08-08 01:55:00+00:00,2025-08-08 02:00:00+00:00,long,strat_b_window,147.244,147.26999999999998,147.00734599999998,147.44725,157.234,session_close,2.5999999999982037,37.82296462277554,214238,5.0,98379.82459772706,98417.64756234983,3.999999999999204,1.8000000000000682,2025-08-08,strat_b_breakout,0.0034999999999999996,,,,,,,38.142948447481444,,23.66540000000157,0.10986503502996067,147.159,146.762,146.9605,39.699999999999136,wide_30_40,147.20264822629863,0.0003668926906822985
12,strat_a_meanrev,2025-08-21 19:18:00+00:00,2025-08-21 22:00:00+00:00,short,strat_a_window,148.35,148.36200000000002,148.45,148.29,138.35999999999999,session_close,-1.2000000000028876,-80.88324503598545,1000000,162.0,98417.64756234983,98336.76431731383,4.699999999999704,6.60000000000025,2025-08-21,strat_a_meanrev,0.0075,147.335,147.696372,146.97362800000002,148.38093340560113,148.2120665943989,65.86206896551991,34.02964102072982,ABCE,9.999999999999432,-0.12000000000029559,,,,,,,
13,strat_a_meanrev,2025-08-28 16:33:00+00:00,2025-08-28 17:04:00+00:00,long,strat_a_window,146.89700000000002,146.79700000000003,146.79700000000003,146.95700000000002,156.88700000000003,sl_hit,-9.999999999999432,-681.212831324852,1000000,31.0,98336.76431731383,97655.55148598898,2.2999999999967713,14.900000000002933,2025-08-28,strat_a_meanrev,0.0075,147.62533333333332,147.96875133333333,147.2819153333333,147.08658582956403,146.90241417043595,27.574750830569613,14.460611226029508,ABCDE,9.999999999999432,-1.0,,,,,,,
14,strat_a_meanrev,2025-08-28 16:50:00+00:00,2025-08-28 17:04:00+00:00,long,strat_a_window,146.848,146.74800000000002,146.74800000000002,146.90800000000002,156.83800000000002,sl_hit,-9.999999999999432,-681.4402922015585,1000000,14.0,97655.55148598898,96974.11119378742,1.1999999999972033,10.000000000002274,2025-08-28,strat_a_meanrev,0.0075,147.62533333333332,147.96875133333333,147.2819153333333,147.08708040120277,146.86871959879724,33.5483870967752,18.276305419749168,ABCE,9.999999999999432,-1.0,,,,,,,
15,strat_a_meanrev,2025-08-28 21:22:00+00:00,2025-08-28 22:00:00+00:00,long,strat_a_window,146.894,146.94799999999998,146.91400000000002,146.954,156.88400000000001,partial_tp_then_session_close,5.699999999998795,387.8839802304109,1000000,38.0,96974.11119378742,97361.99517401784,7.099999999999795,2.200000000001978,2025-08-28,strat_a_meanrev,0.0075,147.62533333333332,147.96875133333333,147.2819153333333,147.0107263889307,146.88157361106929,32.66331658291608,33.99870977166919,ABCE,2.000000000001023,2.8499999999979395,,,,,,,
16,strat_a_meanrev,2025-09-02 17:58:00+00:00,2025-09-02 18:45:00+00:00,short,strat_a_window,148.36599999999999,148.46599999999998,148.46599999999998,148.30599999999998,138.37599999999998,sl_hit,-9.999999999999432,-673.5548879877839,1000000,47.0,97361.99517401784,96688.44028603005,0.0,10.800000000003251,2025-09-02,strat_a_meanrev,0.0075,147.12,147.346144,146.893856,148.39266571093242,148.22843428906754,68.14159292034961,33.82435656884201,ABCE,9.999999999999432,-1.0,,,,,,,
17,strat_b_breakout,2025-09-03 00:35:00+00:00,2025-09-03 02:00:00+00:00,long,strat_b_window,148.672,148.83599999999998,148.486568,148.772,158.662,partial_tp_then_session_close,12.56000660467815,327.1593737351168,387604,85.0,96688.44028603005,97015.59965976517,22.199999999998,6.200000000001182,2025-09-03,strat_b_breakout,0.005,,,,,,,37.72436093383603,,18.54319999999916,0.6773376010979075,148.592,148.316,148.454,27.600000000001046,normal_12_30,148.56357203188276,0.0005114814116886519
18,strat_a_meanrev,2025-09-10 19:36:00+00:00,2025-09-10 22:00:00+00:00,short,strat_a_window,147.432,147.401,147.62161666666668,147.33069518716576,137.44199999999998,session_close,3.099999999997749,118.98135697849584,565741,144.0,97015.59965976517,97134.58101674366,4.599999999999227,4.600000000002069,2025-09-10,strat_a_meanrev,0.0075,147.07366666666667,147.54161666666667,146.60571666666667,147.4324935537628,147.24440644623724,81.44329896906513,15.068605826795922,ABCD,18.96166666666943,0.163487738419476,,,,,,,
19,strat_a_meanrev,2025-09-11 19:07:00+00:00,2025-09-11 19:48:00+00:00,long,strat_a_window,147.109,147.12900000000002,147.12900000000002,147.17435443037962,157.09900000000002,sl_hit,4.2677215189812046,289.9981996539791,1000000,41.0,97134.58101674366,97424.57921639763,7.499999999998863,2.800000000002001,2025-09-11,strat_a_meanrev,0.0075,147.38666666666666,147.59371066666665,147.17962266666666,147.34960933025977,147.11729066974024,26.234567901236034,27.253877604557015,ABCDE,2.000000000001023,2.1338607594895107,,,,,,,
20,strat_a_meanrev,2025-09-11 19:18:00+00:00,2025-09-11 20:35:00+00:00,long,strat_a_window,147.107,147.127,147.127,147.1699704142011,157.097,sl_hit,4.1485207100549815,281.9062042204917,1000000,77.0,97424.57921639763,97706.48542061812,7.699999999999818,2.2999999999996135,2025-09-11,strat_a_meanrev,0.0075,147.38666666666666,147.59371066666665,147.17962266666666,147.35395064525198,147.109849354748,22.72727272727704,27.253877604557015,ABCDE,2.000000000001023,2.0742603550264294,,,,,,,
21,strat_a_meanrev,2025-09-17 16:33:00+00:00,2025-09-17 17:30:00+00:00,long,strat_a_window,146.274,146.30599999999998,146.30599999999998,146.334,156.264,news_tightened_stop,4.599999999999227,314.3702903998287,1000000,57.0,97706.48542061812,98020.85571101795,8.799999999999386,2.7000000000015234,2025-09-17,strat_a_meanrev,0.0075,146.76766666666666,147.25013266666664,146.28520066666667,146.39626317903588,146.27863682096415,33.828996282519824,19.470540970781844,ABC,3.1999999999982265,1.4375000000005551,,,,,,,
22,strat_b_breakout,2025-09-18 01:20:00+00:00,2025-09-18 01:50:00+00:00,long,strat_b_window,147.132,147.107,146.93831,147.3009642857143,157.122,time_exit_30min,-2.5000000000005684,-63.26959288138645,372296,30.0,98020.85571101795,97957.58611813656,0.7999999999981355,11.800000000002342,2025-09-18,strat_b_breakout,0.005,,,,,,,22.073130874239844,,19.36900000000037,-0.12907222881927413,147.051,146.756,146.9035,29.49999999999875,normal_12_30,146.96371301123767,0.0010614555549507778
23,strat_a_meanrev,2025-09-18 20:01:00+00:00,2025-09-18 22:00:00+00:00,short,strat_a_window,147.98999999999998,147.982,148.08999999999997,147.88226886792444,137.99999999999997,session_close,0.7999999999981355,54.06062899529237,1000000,119.0,97957.58611813656,98011.64674713186,7.299999999997908,4.000000000002046,2025-09-18,strat_a_meanrev,0.0075,146.493,147.091976,145.894024,147.95904406361416,147.82765593638584,73.40425531914862,29.482634316089474,ABCDE,9.999999999999432,0.0799999999998181,,,,,,,
24,strat_a_meanrev,2025-09-24 18:47:00+00:00,2025-09-24 20:49:00+00:00,short,strat_a_window,148.82,148.92,148.92,148.76,138.82999999999998,sl_hit,-9.999999999999432,-671.5014773032119,1000000,122.0,98011.64674713186,97340.14526982864,0.0,10.400000000001342,2025-09-24,strat_a_meanrev,0.0075,147.66133333333335,147.83972733333334,147.48293933333335,148.81447127264354,148.70832872735642,67.60000000000446,23.204272425354862,ABCE,9.999999999999432,-1.0,,,,,,,
25,strat_a_meanrev,2025-09-30 16:51:00+00:00,2025-09-30 19:24:00+00:00,long,strat_a_window,147.73600000000002,147.82799999999997,147.75600000000003,147.79600000000002,157.72600000000003,partial_tp_then_be,7.5999999999979195,514.1549330278382,1000000,153.0,97340.14526982864,97854.30020285648,18.29999999999643,9.200000000004138,2025-09-30,strat_a_meanrev,0.0075,148.86533333333333,149.26490533333333,148.46576133333332,148.0476724964279,147.76582750357207,24.470588235291572,33.91968396022194,ABCDE,2.000000000001023,3.7999999999970155,,,,,,,
26,strat_a_meanrev,2025-10-01 18:35:00+00:00,2025-10-01 20:57:00+00:00,long,strat_a_window,147.044,147.072,147.06400000000002,147.15043650793652,157.03400000000002,partial_tp_then_time_decay,6.721825396824954,456.850295861556,1000000,142.0,97854.30020285648,98311.15049871804,11.599999999998545,2.800000000002001,2025-10-01,strat_a_meanrev,0.0075,148.12366666666668,148.58015666666668,147.66717666666668,147.22808963082267,147.05451036917734,33.670033670035224,34.31715194639956,ABCE,2.000000000001023,3.3609126984107576,,,,,,,
27,strat_b_breakout,2025-10-08 00:50:00+00:00,2025-10-08 01:10:00+00:00,long,strat_b_window,152.21,152.32999999999998,151.96062600000002,152.37050000000002,162.20000000000002,partial_tp_then_trail,14.429988429728292,198.91439785427468,210021,20.0,98311.15049871804,98510.06489657231,23.599999999999,8.00000000000125,2025-10-08,strat_b_breakout,0.0034999999999999996,,,,,,,26.496583605841405,,24.93739999999889,0.578648472965463,152.097,151.74,151.9185,35.69999999999993,wide_30_40,152.15641897804306,0.0003812177936691077
28,strat_a_meanrev,2025-10-09 18:44:00+00:00,2025-10-09 18:51:00+00:00,short,strat_a_window,153.10399999999998,153.20399999999998,153.20399999999998,153.03804444444447,143.11399999999998,sl_hit,-9.999999999999432,-652.7244719458653,1000000,7.0,98510.06489657231,97857.34042462644,0.0,10.000000000002274,2025-10-09,strat_a_meanrev,0.0075,152.469,152.95146599999998,151.986534,153.11241958920465,152.93948041079534,81.41891891892395,16.51386973549067,ABCD,9.999999999999432,-1.0,,,,,,,
29,strat_b_breakout,2025-10-10 01:20:00+00:00,2025-10-10 01:50:00+00:00,short,strat_b_window,152.89999999999998,152.96200000000002,153.07406,152.71646428571427,142.90999999999997,time_exit_30min,-6.2000000000040245,-121.94862776383746,300863,30.0,97857.34042462644,97735.3917968626,1.799999999997226,9.400000000002251,2025-10-10,strat_b_breakout,0.0034999999999999996,,,,,,,23.68665905151901,,17.406000000002564,-0.35619901183517816,153.278,152.948,153.113,32.99999999999841,wide_30_40,153.02238488056335,-0.0011366457192877452
30,strat_b_breakout,2025-10-14 00:50:00+00:00,2025-10-14 01:08:00+00:00,long,strat_b_window,152.55800000000002,152.360714,152.360714,152.6739285714286,162.54800000000003,sl_hit,-19.72860000000196,-489.3086816986655,377885,18.0,97735.3917968626,97246.08311516394,0.0,19.800000000003593,2025-10-14,strat_b_breakout,0.005,,,,,,,21.684988266533015,,19.72860000000196,-1.0,152.465,152.192,152.32850000000002,27.299999999999613,normal_12_30,152.4621971046347,0.0003672275630517371
31,strat_a_meanrev,2025-10-14 19:45:00+00:00,2025-10-14 21:58:00+00:00,long,strat_a_window,151.64600000000002,151.72599999999997,151.66600000000003,151.7574081632652,161.63600000000002,partial_tp_then_be,9.570408163257582,630.6931768493059,1000000,133.0,97246.08311516394,97876.77629201325,17.199999999996862,1.6000000000019554,2025-10-14,strat_a_meanrev,0.0075,152.14133333333334,152.41942933333334,151.86323733333333,151.80212216702134,151.69067783297865,26.43171806167456,20.503069437731863,ABCDE,2.000000000001023,4.785204081626343,,,,,,,
32,strat_a_meanrev,2025-10-15 17:12:00+00:00,2025-10-15 18:24:00+00:00,long,strat_a_window,151.12300000000002,151.29599999999996,151.14300000000003,151.2075581395349,161.11300000000003,partial_tp_then_be,12.877906976741826,851.3364461177116,1000000,72.0,97876.77629201325,98728.11273813096,26.099999999996726,2.600000000003888,2025-10-15,strat_a_meanrev,0.0075,151.9896666666667,152.3754866666667,151.6038466666667,151.317798960275,151.094101039725,28.61538461538234,34.49621689439597,ABCDE,2.000000000001023,6.438953488367619,,,,,,,
33,strat_a_meanrev,2025-10-15 20:06:00+00:00,2025-10-15 20:39:00+00:00,long,strat_a_window,151.223,151.12300000000002,151.12300000000002,151.28300000000002,161.21300000000002,sl_hit,-9.999999999999432,-661.7126446668892,1000000,33.0,98728.11273813096,98066.40009346408,3.4999999999968168,11.90000000000282,2025-10-15,strat_a_meanrev,0.0075,151.9896666666667,152.3754866666667,151.6038466666667,151.34456983722822,151.2156301627718,23.106060606056616,34.86331608105305,ABCDE,9.999999999999432,-1.0,,,,,,,
34,strat_a_meanrev,2025-10-21 16:49:00+00:00,2025-10-21 16:54:00+00:00,short,strat_a_window,151.91,151.89,151.89,151.85,141.92,sl_hit,4.000000000000625,263.40050388704344,1000000,5.0,98066.40009346408,98329.80059735112,6.599999999997408,5.000000000001137,2025-10-21,strat_a_meanrev,0.0075,150.72133333333332,151.07659333333334,150.3660733333333,151.92557129175034,151.67862870824965,66.74584323040418,23.06032769797246,ABCE,2.000000000001023,1.9999999999992895,,,,,,,
35,strat_a_meanrev,2025-10-24 18:26:00+00:00,2025-10-24 20:32:00+00:00,short,strat_a_window,152.84799999999998,152.83,152.82799999999997,152.78799999999998,142.85799999999998,partial_tp_then_time_decay,3.8999999999987267,255.2394603214941,1000000,126.0,98329.80059735112,98585.04005767261,8.199999999996521,5.60000000000116,2025-10-24,strat_a_meanrev,0.0075,152.39833333333334,152.77078333333333,152.02588333333335,152.85953078892908,152.76896921107095,66.37168141592775,28.084620556126886,ABC,2.000000000001023,1.9499999999983657,,,,,,,
