trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2024-11-05 19:56:00+00:00,2024-11-05 19:55:00+00:00,1,2024-11-05 20:18:00+00:00,long,151.3835,151.3935,151.3935,152.08166666666668,tp1_then_be_stop,3.8285505014572254,34.16991619818586,4,135163,6.657142857142873,28.0,2024-11-06,22.0,50000.0,50034.16991619819,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.08166666666668,152.47932866666667,152.72500466666668,151.68400466666668,151.43832866666668,151.64701584028055,151.5097,151.37238415971947,151.36444,bullish,34.05797101449619,0.13314285714285745
2,2024-11-06 20:50:00+00:00,2024-11-06 20:47:00+00:00,3,2024-11-06 21:42:00+00:00,short,154.55450000000002,154.6545,154.6545,151.83466666666666,sl,-9.999999999999432,-250.0088907855756,5,386650,6.0,10.0,2024-11-07,52.0,50034.16991619819,49784.16102541261,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.83466666666666,152.29612266666666,152.58121066666666,151.37321066666667,151.08812266666666,154.54854539542944,154.46385,154.37915460457057,154.49112,bullish,87.05882352941589,0.11728571428571806
3,2024-11-06 21:05:00+00:00,2024-11-06 21:01:00+00:00,4,2024-11-06 22:04:00+00:00,short,154.6225,154.5975,154.7225,151.83466666666666,session_close,2.5000000000005684,62.55275796828668,5,386820,6.0,10.0,2024-11-07,59.0,49784.16102541261,49846.7137833809,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.83466666666666,152.29612266666666,152.58121066666666,151.37321066666667,151.08812266666666,154.58081248202487,154.47235,154.36388751797514,154.51532,bullish,93.81443298969012,0.11228571428571651
4,2024-11-08 20:38:00+00:00,2024-11-08 20:36:00+00:00,2,2024-11-10 22:04:00+00:00,long,152.6515,152.6845,152.3715,153.43866666666668,session_close,3.300000000001546,29.367578241420055,4,135878,6.1142857142855735,28.0,2024-11-09,2966.0,49846.7137833809,49876.081361622324,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.43866666666668,154.21107066666667,154.68826266666667,152.66626266666668,152.18907066666668,152.79534517350783,152.7205,152.64565482649215,152.61,bullish,28.488372093021667,0.12228571428571147
5,2024-11-08 20:49:00+00:00,2024-11-08 20:45:00+00:00,4,2024-11-10 22:04:00+00:00,long,152.6015,152.6845,152.61149999999998,153.43866666666668,tp1_then_session_close,7.150008466279899,63.61277624098707,3,135833,6.0,28.0,2024-11-09,2955.0,49876.081361622324,49939.69413786331,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.43866666666668,154.21107066666667,154.68826266666667,152.66626266666668,152.18907066666668,152.80337652763924,152.71030000000002,152.6172234723608,152.651320288,bearish,31.51125401929275,0.11478571428571017
6,2024-11-13 17:09:00+00:00,2024-11-13 17:08:00+00:00,1,2024-11-13 18:57:00+00:00,short,155.2825,155.5625,155.5625,154.3213333333333,sl,-28.000000000000114,-249.24747288067599,5,138477,10.032142857142848,28.0,2024-11-14,108.0,49939.69413786331,49690.446664982635,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.3213333333333,154.90120933333333,155.2594573333333,153.7414573333333,153.38320933333333,155.36239988569167,155.1437,154.92500011430832,155.432,bearish,88.83161512027519,0.20064285714285696
7,2024-11-14 20:01:00+00:00,2024-11-14 20:00:00+00:00,1,2024-11-14 20:14:00+00:00,short,156.1445,156.4245,156.4245,155.14866666666668,sl,-28.000000000000114,-248.00641843189626,5,138551,6.392857142856911,28.0,2024-11-15,13.0,49690.446664982635,49442.44024655074,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.14866666666668,155.6403006666667,155.94403266666666,154.65703266666668,154.3533006666667,156.04231527238116,155.91789999999997,155.7934847276188,155.87,bullish,70.67901234567738,0.12785714285713823
9,2024-11-20 20:48:00+00:00,2024-11-20 20:47:00+00:00,1,2024-11-20 21:23:00+00:00,short,155.48950000000002,155.47950000000003,155.47950000000003,154.245,tp1_then_be_stop,3.4999817891766027,30.911694757352144,4,137281,6.0,28.0,2024-11-21,35.0,49442.44024655074,49473.35194130809,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.245,154.82525800000002,155.183742,153.664742,153.306258,155.51332040720877,155.37445,155.23557959279123,155.519218,bearish,69.02654867256666,0.09785714285714116
8,2024-11-20 20:10:00+00:00,2024-11-20 20:09:00+00:00,1,2024-11-20 22:04:00+00:00,short,155.3965,155.4375,155.6765,154.245,session_close,-4.099999999999682,-36.18920144752433,4,137199,6.0,28.0,2024-11-21,114.0,49473.35194130809,49437.16273986056,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.245,154.82525800000002,155.183742,153.664742,153.306258,155.4109053569486,155.3325,155.25409464305142,155.457,bearish,65.77380952381078,0.1090714285714256
10,2024-11-26 17:21:00+00:00,2024-11-26 17:20:00+00:00,1,2024-11-26 18:37:00+00:00,long,153.3495,153.3955,153.3595,154.15,tp1_then_trailing_stop,7.341051180882154,64.77150100274444,4,135377,10.082142857142681,28.0,2024-11-27,76.0,49437.16273986056,49501.93424086331,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.15,154.599614,154.877386,153.700386,153.422614,153.69736555706973,153.50459999999998,153.31183444293023,153.256,bullish,30.802919708029677,0.20164285714285363
11,2024-11-26 20:02:00+00:00,2024-11-26 20:00:00+00:00,2,2024-11-26 22:04:00+00:00,long,153.1095,153.0815,152.893,154.15,session_close,-2.7999999999991587,-32.01622665050008,5,175039,7.31428571428572,21.649999999999636,2024-11-27,122.0,49501.93424086331,49469.91801421281,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.15,154.599614,154.877386,153.700386,153.422614,153.50626427454745,153.30485,153.10343572545253,153.083,bullish,28.818897637794535,0.1462857142857144
12,2024-12-17 17:11:00+00:00,2024-12-17 17:09:00+00:00,2,2024-12-17 21:40:00+00:00,long,153.3315,153.4895,153.3415,153.98666666666665,tp1_then_trailing_stop,11.76252980782615,103.819597416066,4,135451,7.72500000000014,28.0,2024-12-18,269.0,49469.91801421281,49573.73761162887,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.98666666666665,154.42825866666664,154.70107466666664,153.54507466666666,153.27225866666666,153.6601280038973,153.5046,153.3490719961027,153.255,bullish,30.19197207679221,0.1545000000000028
13,2024-12-17 18:48:00+00:00,2024-12-17 18:47:00+00:00,1,2024-12-17 21:40:00+00:00,long,153.2095,153.4895,153.21949999999998,153.98666666666665,tp1_then_trailing_stop,17.000081274982993,149.94021100247048,4,135343,6.0,28.0,2024-12-18,172.0,49573.73761162887,49723.67782263134,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.98666666666665,154.42825866666664,154.70107466666664,153.54507466666666,153.27225866666666,153.4091799687941,153.29855,153.18792003120592,153.16,bullish,34.50549450549592,0.11585714285714387
14,2024-12-24 19:06:00+00:00,2024-12-24 19:05:00+00:00,1,2024-12-24 21:43:00+00:00,short,157.36950000000002,157.25650000000002,157.35950000000003,156.927,tp1_then_trailing_stop,8.650000000000091,100.21962982792641,3,182220,6.0,21.471199999999158,2024-12-25,157.0,49723.67782263134,49823.89745245926,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.927,157.283788,157.504212,156.570212,156.349788,157.36596327732582,157.2945,157.22303672267418,157.31,bullish,65.0793650793649,0.06278571428571768
15,2024-12-26 21:44:00+00:00,2024-12-26 21:40:00+00:00,4,2024-12-26 22:04:00+00:00,short,157.9955,157.9255,157.9855,157.16466666666668,tp1_then_session_close,6.500001270334659,161.9944996888702,5,393597,6.0,10.0,2024-12-27,20.0,49823.89745245926,49985.89195214814,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.16466666666668,157.3571946666667,157.47613866666669,156.97213866666667,156.85319466666667,158.01282875149735,157.95159999999998,157.89037124850262,158.046,bearish,71.7171717171607,0.07142857142857142
16,2025-01-07 18:51:00+00:00,2025-01-07 18:50:00+00:00,1,2025-01-07 20:52:00+00:00,short,157.86450000000002,157.83350000000002,157.85450000000003,157.2843333333333,tp1_then_trailing_stop,5.989285714285586,53.485435940815975,3,140910,8.878571428571291,28.0,2025-01-08,121.0,49985.89195214814,50039.37738808895,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.2843333333333,157.94481133333332,158.3528553333333,156.6238553333333,156.2158113333333,157.88188415860614,157.7326,157.58331584139384,157.91148813936,bearish,68.97106109324635,0.17757142857142583
17,2025-01-07 21:17:00+00:00,2025-01-07 21:13:00+00:00,4,2025-01-07 22:04:00+00:00,short,157.9735,158.0485,158.2535,157.2843333333333,session_close,-7.499999999998863,-66.98481795144146,4,141158,6.0,28.0,2025-01-08,47.0,50039.37738808895,49972.392570137505,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.2843333333333,157.94481133333332,158.3528553333333,156.6238553333333,156.2158113333333,157.94951242637794,157.8127,157.67588757362208,157.996,bearish,88.54166666667695,0.09135714285714462
18,2025-01-10 21:19:00+00:00,2025-01-10 21:16:00+00:00,3,2025-01-10 21:53:00+00:00,long,157.7235,157.7335,157.7335,158.03033333333335,tp1_then_be_stop,3.4999999999996594,31.22210545228273,4,140746,6.0,28.0,2025-01-11,34.0,49972.392570137505,50003.614675589786,TOKYO_MEANREV,tokyo_meanrev,tokyo,158.03033333333335,158.34586533333334,158.54080133333335,157.71480133333336,157.51986533333334,157.9430258456614,157.83104999999998,157.71907415433856,157.686,bullish,29.36893203883679,0.1052142857142765
19,2025-01-14 17:23:00+00:00,2025-01-14 17:22:00+00:00,1,2025-01-14 18:56:00+00:00,short,158.0915,158.0675,158.0815,157.45166666666668,tp1_then_trailing_stop,5.51604935429306,49.27656762878054,4,141163,8.632142857142863,28.0,2025-01-15,93.0,50003.614675589786,50052.89124321857,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.45166666666668,157.85429466666668,158.1030386666667,157.0490386666667,156.80029466666667,158.11132919016313,157.9873,157.86327080983688,158.02999359999998,bullish,65.43574593796265,0.17264285714285726
20,2025-01-14 21:15:00+00:00,2025-01-14 21:10:00+00:00,5,2025-01-14 21:43:00+00:00,short,158.0045,157.99450000000002,157.99450000000002,157.45166666666668,tp1_then_be_stop,3.499999999999659,31.293375435830455,5,141224,6.0,28.0,2025-01-15,28.0,50052.89124321857,50084.1846186544,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.45166666666668,157.85429466666668,158.1030386666667,157.0490386666667,156.80029466666667,158.0156870678508,157.9461,157.8765129321492,157.96820137057074,bullish,83.33333333333333,0.0720714285714296
21,2025-01-15 18:21:00+00:00,2025-01-15 18:20:00+00:00,1,2025-01-15 19:39:00+00:00,long,156.4465,156.4775,156.45649999999998,157.765,tp1_then_trailing_stop,5.257142857142582,131.59793332424954,4,391774,7.4142857142855885,10.0,2025-01-16,78.0,50084.1846186544,50215.78255197865,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.765,158.176796,158.43120399999998,157.35320399999998,157.098796,156.6413839380242,156.55135,156.46131606197582,156.5616,bearish,32.89036544849962,0.14828571428571177
