trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,first_hour_high,first_hour_low,ema20_m5,roc10_m5,news_event_id,news_move_pips
1,2023-06-21 00:45:00+00:00,2023-06-21 00:52:00+00:00,short,mean_reversion,morning_active,141.536,141.58800000000002,141.63666666666668,141.40966666666668,131.546,trailing_stop,-5.200000000002092,-367.2627623811404,1000000,7.0,100000.0,99632.73723761886,1.8000000000000682,8.00000000000125,2023-06-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,141.40966666666668,141.46582066666667,141.50051266666668,141.3535126666667,141.31882066666668,141.5884025633618,141.4109,141.2333974366382,76.6272189349105,0.07192857142856976,,141.4922608695652,UNCLASSIFIED,,,,,,
2,2023-06-22 00:25:00+00:00,2023-06-22 00:46:00+00:00,short,mean_reversion,morning_active,141.819,141.876,142.069,141.76449999999997,131.82899999999998,trailing_stop,-5.700000000001637,-227.07113253833808,565192,21.0,99632.73723761886,99405.66610508053,1.2999999999976808,6.100000000003547,2023-06-22,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,141.83733333333333,142.25294933333333,142.50971733333336,141.42171733333333,141.1649493333333,141.81046824151045,141.71425,141.61803175848954,69.68838526912592,0.06471428571428614,17.938124428602055,141.76449999999997,UNCLASSIFIED,,,,,,
3,2023-06-26 00:15:00+00:00,2023-06-26 00:22:00+00:00,long,mean_reversion,morning_active,143.386,143.332,143.30599999999998,143.60600000000002,153.376,trailing_stop,-5.400000000000205,-376.7476906762067,1000000,7.0,99405.66610508053,99028.91841440432,1.5999999999991132,5.89999999999975,2023-06-26,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,143.60600000000002,143.64572800000002,143.67027200000004,143.56627200000003,143.541728,143.68139667017212,143.51735,143.35330332982787,37.83783783783784,0.09785714285714318,39.528924659596676,143.3680625,UNCLASSIFIED,,,,,,
4,2023-06-26 00:30:00+00:00,2023-06-26 00:33:00+00:00,long,mean_reversion,morning_active,143.366,143.286,143.286,143.60600000000002,153.35600000000002,sl,-8.00000000000125,-558.3239116174121,1000000,3.0,99028.91841440432,98470.59450278692,0.0,9.800000000001319,2023-06-26,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,143.60600000000002,143.64572800000002,143.67027200000004,143.56627200000003,143.541728,143.63681773273737,143.47475,143.31268226726263,39.44636678200822,0.09742857142857174,41.39352096863844,143.36516129032262,UNCLASSIFIED,,,,,,
5,2023-06-26 00:50:00+00:00,2023-06-26 00:54:00+00:00,long,mean_reversion,morning_active,143.312,143.35799999999998,143.232,143.60600000000002,153.30200000000002,trailing_stop,4.599999999996385,320.87501220694946,1000000,4.0,98470.59450278692,98791.46951499386,10.799999999997567,1.8000000000029104,2023-06-26,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,143.60600000000002,143.64572800000002,143.67027200000004,143.56627200000003,143.541728,143.618084181122,143.42805,143.23801581887804,31.186440677965493,0.09592857142857067,41.88158932929652,143.34374509803922,UNCLASSIFIED,,,,,,
6,2023-06-28 04:05:00+00:00,2023-06-28 06:00:00+00:00,long,breakout,afternoon_active,143.96,143.956,143.7,144.0865357142857,144.0865357142857,session_end_close,-0.40000000000190994,-11.399316457860984,410250,115.0,98791.46951499386,98780.070198536,6.89999999999884,6.800000000001205,2023-06-28,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,35.58178953402928,,TRENDING,143.916,143.73,143.92697815248502,0.000375265813284424,,
7,2023-06-28 04:30:00+00:00,2023-06-28 06:00:00+00:00,long,breakout,afternoon_active,143.95600000000002,143.956,143.7,144.07664285714287,144.07664285714287,session_end_close,-2.8421709430404007e-12,-8.226039076154103e-11,416649,90.0,98780.070198536,98780.07019853592,7.299999999997908,6.400000000002137,2023-06-28,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,27.40163598023532,,TRENDING,143.916,143.73,143.93016190598374,0.00025015287119907557,,
8,2023-06-30 00:20:00+00:00,2023-06-30 00:48:00+00:00,short,mean_reversion,morning_active,144.82999999999998,144.792,145.07999999999998,144.59400000000002,134.83999999999997,trailing_stop,3.7999999999982492,150.18492734398296,572252,28.0,98780.07019853592,98930.2551258799,12.499999999997158,1.6000000000019554,2023-06-30,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.84865176864605,144.77515,144.70164823135394,65.5688622754467,0.05599999999999535,25.69117378756329,144.81533333333337,UNCLASSIFIED,,,,,,
9,2023-06-30 00:55:00+00:00,2023-06-30 00:59:00+00:00,short,mean_reversion,morning_active,144.838,144.905,145.088,144.59400000000002,134.84799999999998,trailing_stop,-6.700000000000728,-265.01030330219226,573154,4.0,98930.2551258799,98665.24482257772,1.5999999999991132,9.500000000002728,2023-06-30,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.59400000000002,144.886612,145.06738800000002,144.30138800000003,144.12061200000002,144.87109522655902,144.78730000000002,144.703504773441,61.521739130433275,0.0650714285714246,27.31844919693012,144.798375,UNCLASSIFIED,,,,,,
10,2023-06-30 05:40:00+00:00,2023-06-30 06:00:00+00:00,short,breakout,afternoon_active,144.65599999999998,144.693,144.955,144.52249999999998,144.52249999999998,session_end_close,-3.7000000000034556,-45.77354122180193,179003,20.0,98665.24482257772,98619.47128135592,2.7999999999963165,4.700000000002547,2023-06-30,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,21.290317947178078,,TRENDING,144.925,144.697,144.70484366621102,-0.00022115331453537545,,
11,2023-07-03 00:30:00+00:00,2023-07-03 01:17:00+00:00,long,mean_reversion,morning_active,144.288,144.444,144.11999999999998,144.326,154.27800000000002,trailing_stop,8.51999999999805,499.7105386079555,847000,47.0,98619.47128135592,99119.18181996387,23.999999999998067,1.8000000000029104,2023-07-03,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.326,144.374132,144.403868,144.27786799999998,144.248132,144.42263153387358,144.3473,144.2719684661264,38.172043010753065,0.06078571428571422,28.84117483308287,144.31016129032258,UNCLASSIFIED,,,,,,
12,2023-07-04 00:00:00+00:00,2023-07-04 00:35:00+00:00,long,mean_reversion,morning_active,144.604,144.498,144.354,144.51933333333332,154.59400000000002,trailing_stop,-9.320002232608603,-369.75757962988314,573321,35.0,99119.18181996387,98749.42424033399,0.0,11.300000000002797,2023-07-04,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.51933333333332,144.87382933333333,145.0928373333333,144.1648373333333,143.94582933333334,144.69631323041685,144.64765,144.59898676958315,29.545454545452344,0.03335714285713972,27.23289496768602,144.596,UNCLASSIFIED,,,,,,
13,2023-07-04 04:50:00+00:00,2023-07-04 06:00:00+00:00,long,breakout,afternoon_active,144.65800000000002,144.62199999999999,144.398,144.758,144.758,session_end_close,-3.6000000000029786,-102.572941876148,412064,70.0,98749.42424033399,98646.85129845784,0.1999999999981128,6.100000000003547,2023-07-04,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,35.200827332703774,,TRENDING,144.618,144.428,144.6204876471175,-0.00011059958801647334,,
14,2023-07-05 00:35:00+00:00,2023-07-05 01:03:00+00:00,short,mean_reversion,morning_active,144.528,144.518,144.778,144.45600000000002,134.53799999999998,trailing_stop,4.719995651325754,186.33104443072008,570289,28.0,98646.85129845784,98833.18234288855,7.999999999998408,4.000000000002046,2023-07-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.53837947197968,144.46744999999999,144.3965205280203,63.1944444444441,0.04685714285713719,21.558130752411778,144.48497222222215,UNCLASSIFIED,,,,,,
15,2023-07-05 01:35:00+00:00,2023-07-05 02:00:00+00:00,short,mean_reversion,morning_active,144.59,144.621,144.84,144.51919791666666,134.6,phase_lunch_close,-3.100000000000591,-122.526749227314,571611,25.0,98833.18234288855,98710.65559366124,2.400000000000091,3.2000000000010687,2023-07-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.63184139893542,144.51965,144.4074586010646,60.09975062344472,0.06757142857142437,18.07242986046922,144.51919791666666,RANGING,,,,,,
16,2023-07-05 05:15:00+00:00,2023-07-05 05:44:00+00:00,short,mean_reversion,afternoon_active,144.608,144.64000000000001,144.84376400000005,144.54580379746827,134.618,trailing_stop,-3.2000000000010687,-133.9491150442925,605450,29.0,98710.65559366124,98576.70647861695,3.1999999999982265,5.000000000001137,2023-07-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.60112488392153,144.53379999999999,144.46647511607844,68.80733944954727,0.04857142857142906,18.93324699722105,144.54580379746827,RANGING,,,,,,
17,2023-07-05 05:25:00+00:00,2023-07-05 05:44:00+00:00,short,mean_reversion,afternoon_active,144.63,144.64000000000001,144.84376400000005,144.54867484662563,134.64,trailing_stop,-1.0000000000019327,-46.174156526637915,667863,19.0,98576.70647861695,98530.53232209031,5.3999999999973625,2.400000000000091,2023-07-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.45600000000002,144.64623600000002,144.76376400000004,144.26576400000002,144.148236,144.63628711138443,144.5428,144.44931288861557,72.28915662651524,0.04857142857142906,18.93324699722105,144.54867484662563,RANGING,,,,,,
18,2023-07-06 00:20:00+00:00,2023-07-06 00:50:00+00:00,long,mean_reversion,morning_active,144.377,144.396,144.127,144.46033333333332,154.36700000000002,trailing_stop,5.759993216417022,226.8961796450237,569021,30.0,98530.53232209031,98757.42850173532,8.899999999997021,3.500000000002501,2023-07-06,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,144.46033333333332,144.7113073333333,144.86635933333332,144.20935933333334,144.05430733333333,144.59137836042575,144.47095,144.35052163957423,33.05322128851408,0.07692857142857333,57.037574783849266,144.39838095238096,UNCLASSIFIED,,,,,,
