dow,count,median_day_range_pips,p75_day_range_pips,p90_day_range_pips,exceed_100_rate,exceed_120_rate
Friday,7,107.20000000000027,151.8499999999989,247.78000000000083,0.42857142857142855,0.2857142857142857
Monday,8,102.24999999999937,137.14999999999975,185.35999999999973,0.5,0.25
Sunday,7,61.299999999999955,72.8500000000011,93.28000000000033,0.14285714285714285,0.0
Thursday,7,79.9999999999983,83.45000000000056,111.04000000000102,0.14285714285714285,0.14285714285714285
Tuesday,7,122.70000000000039,174.2999999999995,245.93999999999997,0.5714285714285714,0.5714285714285714
Wednesday,7,135.9000000000009,178.6999999999992,192.33999999999924,0.8571428571428571,0.5714285714285714
