trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-07-10 18:02:00+00:00,2025-07-10 18:01:00+00:00,1,2025-07-10 22:00:00+00:00,long,146.3225,146.2365,146.0425,146.58333333333334,session_close,-8.599999999998431,-76.83081857127291,3,130645,6.0,28.0,favorable,ABC,high,1.0,1.0,1.0,1.0,1.0,full,2025-07-11,238.0,50000.0,49923.169181428726,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.58333333333334,146.94088533333334,147.16178133333335,146.22578133333334,146.00488533333333,146.51866492573475,146.41615,146.31363507426522,146.359,bearish,33.15217391304519,0.10285714285714473
2,2025-07-23 18:30:00+00:00,2025-07-23 18:25:00+00:00,5,2025-07-23 20:01:00+00:00,long,146.4185,146.4895,146.4385,146.95633333333333,tp1_then_trailing_stop,6.737502777160472,60.035708524910405,3,130529,6.375000000000293,28.0,favorable,ABC,high,1.0,1.0,1.0,1.0,1.0,full,2025-07-24,91.0,49923.169181428726,49983.20488995364,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.95633333333333,147.58434133333333,147.97232533333332,146.32832533333334,145.94034133333335,146.63134720352184,146.52720000000002,146.4230527964782,146.4605152,bearish,34.71074380165186,0.12750000000000586
3,2025-07-24 20:37:00+00:00,2025-07-24 20:35:00+00:00,2,2025-07-24 22:00:00+00:00,short,146.9635,147.1855,147.2435,146.601,session_close,-22.199999999998,-148.38511945808543,3,98379,6.0,28.0,favorable,ABC,high,0.75,1.0,1.0,0.75,1.0,full,2025-07-25,83.0,49983.20488995364,49834.81977049555,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.601,147.022728,147.28327199999998,146.179272,145.91872800000002,146.97686206490013,146.91635000000002,146.8558379350999,146.9139264,bullish,66.84636118598212,0.0681428571428516
4,2025-07-25 20:27:00+00:00,2025-07-25 20:25:00+00:00,2,2025-07-27 21:04:00+00:00,short,147.64950000000002,147.7715,147.92950000000002,146.69266666666667,session_close,-12.19999999999857,-40.67891305156471,5,49272,6.0,28.0,neutral,ABCDE,high,0.375,0.5,1.0,0.75,1.0,full,2025-07-26,2917.0,49834.81977049555,49794.140857443985,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.69266666666667,147.17704266666667,147.47629066666667,146.20829066666667,145.90904266666666,147.68555400957933,147.60325,147.52094599042067,147.6568897024,bullish,73.50427350427267,0.058285714285712435
5,2025-07-31 18:31:00+00:00,2025-07-31 18:30:00+00:00,1,2025-07-31 20:00:00+00:00,short,150.7365,150.8365,150.8365,148.93433333333334,sl,-9.999999999999432,-93.30168758887405,4,140733,6.10357142857144,10.0,neutral,ABCE,medium,0.375,0.5,0.75,1.0,1.0,full,2025-08-01,89.0,49794.140857443985,49700.83916985511,TOKYO_MEANREV,tokyo_meanrev,tokyo,148.93433333333334,149.59672133333333,150.00594533333336,148.27194533333335,147.86272133333333,150.75277124130537,150.67419999999998,150.5956287586946,150.69406,bullish,65.82733812950251,0.1220714285714288
6,2025-07-31 18:44:00+00:00,2025-07-31 18:43:00+00:00,1,2025-07-31 20:01:00+00:00,short,150.7495,150.8495,150.8495,148.93433333333334,sl,-9.999999999999432,-93.30160192774387,4,140745,6.10357142857144,10.0,neutral,ABCE,medium,0.375,0.5,0.75,1.0,1.0,full,2025-08-01,77.0,49700.83916985511,49607.53756792737,TOKYO_MEANREV,tokyo_meanrev,tokyo,148.93433333333334,149.59672133333333,150.00594533333336,148.27194533333335,147.86272133333333,150.76190360545206,150.6787,150.59549639454792,150.69529999999997,bullish,69.65517241379142,0.1220714285714288
7,2025-08-13 20:33:00+00:00,2025-08-13 20:32:00+00:00,1,2025-08-13 22:00:00+00:00,long,147.39149999999998,147.3065,147.11149999999998,147.98233333333334,session_close,-8.499999999997954,-21.189051399627637,4,36721,6.0,28.0,neutral,ABCE,medium,0.28125,0.5,0.75,0.75,1.0,full,2025-08-14,87.0,49607.53756792737,49586.348516527745,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.98233333333334,148.34179533333335,148.56387133333334,147.62287133333334,147.40079533333335,147.49076428400335,147.43125,147.37173571599666,147.352,bullish,32.608695652177275,0.05771428571428113
8,2025-08-14 18:11:00+00:00,2025-08-14 18:10:00+00:00,1,2025-08-14 21:06:00+00:00,short,147.9325,147.8195,147.9125,147.51433333333333,tp1_then_trailing_stop,8.650020230706486,76.64189468029677,3,130989,6.0,28.0,favorable,ABC,high,1.0,1.0,1.0,1.0,1.0,full,2025-08-15,175.0,49586.348516527745,49662.99041120804,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.51433333333333,147.92803933333332,148.18362733333333,147.10062733333334,146.84503933333332,147.93491151398865,147.84165000000002,147.74838848601138,147.967,bearish,66.21253405994841,0.10528571428570745
9,2025-08-21 19:04:00+00:00,2025-08-21 19:00:00+00:00,4,2025-08-21 22:00:00+00:00,short,148.3505,148.3615,148.4505,147.335,session_close,-1.099999999999568,-7.6816087731625275,4,103605,6.0,10.0,neutral,ABCE,medium,0.28125,0.5,0.75,0.75,1.0,full,2025-08-22,176.0,49662.99041120804,49655.308802434876,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.335,147.696372,147.91962800000002,146.97362800000002,146.750372,148.34417963702305,148.27955,148.21492036297695,148.30430003599363,bullish,66.96969696969846,0.07549999999999914
10,2025-08-28 16:33:00+00:00,2025-08-28 16:31:00+00:00,2,2025-08-28 20:58:00+00:00,long,146.8965,146.9165,146.9165,147.62533333333332,tp1_then_be_stop,3.9999725625237756,19.841915558370513,5,72893,6.0,25.016666666670062,favorable,ABCDE,high,0.5,1.0,1.0,0.5,1.0,full,2025-08-29,265.0,49655.308802434876,49675.150717993245,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.62533333333332,147.96875133333333,148.1809153333333,147.2819153333333,147.06975133333333,147.08658582956403,146.9945,146.90241417043595,146.96096,bearish,27.574750830569613,0.11014285714286132
