trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,adx_m15,ema20_m5,roc10_m5,sl_pips,R,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,combo
1,strat_b_breakout,2024-10-23 00:35:00+00:00,2024-10-23 00:54:00+00:00,long,strat_b_window,151.27,151.345,151.098,151.37,161.26000000000002,partial_tp_then_trail,8.999995451836433,261.4691098645267,439738,19.0,100000.0,100261.46910986453,18.799999999998818,4.400000000001114,2024-10-23,strat_b_breakout,0.005,151.162,151.034,151.098,12.800000000001432,normal_12_30,38.62088271598446,151.18855061903457,0.0009528977355444452,17.199999999999704,0.523255549525383,,,,,,,
2,strat_a_meanrev,2024-10-23 16:56:00+00:00,2024-10-23 17:33:00+00:00,short,strat_a_window,152.87199999999999,152.85199999999998,152.85199999999998,152.81199999999998,142.88199999999998,sl_hit,4.000000000000625,261.742422646983,1000000,37.0,100261.46910986453,100523.21153251152,6.399999999996453,3.2000000000010687,2024-10-23,strat_a_meanrev,0.0075,,,,,,29.179711536086238,,,2.000000000001023,1.9999999999992895,150.95166666666668,151.1781926666667,150.72514066666668,152.94376680021085,152.77113319978915,60.113421550093975,AC
4,strat_a_meanrev,2024-10-23 17:58:00+00:00,2024-10-23 18:20:00+00:00,long,strat_a_window,152.79000000000002,152.51000000000002,152.51000000000002,152.85600000000002,162.78000000000003,sl_hit,-28.000000000000114,-755.3078486656643,411400,22.0,100523.21153251152,99767.90368384586,0.0,28.100000000003433,2024-10-23,strat_a_meanrev,0.0075,,,,,,24.744827704688497,,,28.000000000000114,-1.0,150.95166666666668,151.1781926666667,150.72514066666668,152.92637306645162,152.80192693354837,37.88659793814259,BC
3,strat_a_meanrev,2024-10-23 17:08:00+00:00,2024-10-23 18:28:00+00:00,short,strat_a_window,152.85,152.568,152.82999999999998,152.79,142.85999999999999,partial_tp_then_be,17.099999999999223,1120.5259999466386,1000000,80.0,99767.90368384586,100888.42968379249,37.19999999999857,7.00000000000216,2024-10-23,strat_a_meanrev,0.0075,,,,,,27.167513033375986,,,2.000000000001023,8.549999999995238,150.95166666666668,151.1781926666667,150.72514066666668,152.9418456552356,152.77095434476442,60.00000000000142,AC
5,strat_a_meanrev,2024-10-23 18:23:00+00:00,2024-10-23 19:18:00+00:00,long,strat_a_window,152.49800000000002,152.57399999999998,152.51800000000003,152.64800000000002,162.48800000000003,partial_tp_then_be,11.299999999998533,301.72799450007165,407528,55.0,100888.42968379249,101190.15767829257,17.899999999997362,1.8000000000029104,2024-10-23,strat_a_meanrev,0.0075,,,,,,27.761818068977,,,2.000000000001023,5.649999999996377,150.95166666666668,151.1781926666667,150.72514066666668,152.98904117148092,152.6489588285191,29.007633587783687,BC
6,strat_a_meanrev,2024-10-24 17:28:00+00:00,2024-10-24 20:29:00+00:00,long,strat_a_window,151.615,151.80999999999997,151.63500000000002,151.70205084745763,161.60500000000002,partial_tp_then_be,14.102542372879157,502.90633042724994,541246,181.0,101190.15767829257,101693.06400871983,27.899999999996794,6.800000000001205,2024-10-24,strat_a_meanrev,0.0075,,,,,,31.20174661421578,,,2.000000000001023,7.0512711864359705,152.306,153.129592,151.48240800000002,151.85457786482056,151.62092213517946,32.36151603498351,BC
7,strat_a_meanrev,2024-10-24 17:38:00+00:00,2024-10-24 20:29:00+00:00,long,strat_a_window,151.58200000000002,151.80999999999997,151.60200000000003,151.68610144927533,161.57200000000003,partial_tp_then_be,16.605072463762834,700.8279158020987,640560,171.0,101693.06400871983,102393.89192452193,31.199999999995498,3.200000000003911,2024-10-24,strat_a_meanrev,0.0075,,,,,,33.30373460372618,,,2.000000000001023,8.30253623187717,152.306,153.129592,151.48240800000002,151.84931481986885,151.5815851801311,31.534090909090267,ABC
8,strat_a_meanrev,2024-10-24 20:46:00+00:00,2024-10-24 22:00:00+00:00,long,strat_a_window,151.841,151.80599999999998,151.561,151.901,161.83100000000002,session_close,-3.500000000002501,-96.01633005289922,416453,74.0,102393.89192452193,102297.87559446903,1.6999999999995907,4.500000000001592,2024-10-24,strat_a_meanrev,0.0075,,,,,,32.20121849937305,,,28.000000000000114,-0.12500000000008882,152.306,153.129592,151.48240800000002,151.89317512407118,151.81762487592883,35.15151515151244,BC
9,strat_a_meanrev,2024-10-25 16:31:00+00:00,2024-10-25 17:49:00+00:00,short,strat_a_window,152.178,152.158,152.158,152.118,142.188,sl_hit,4.000000000000625,109.64083019686375,416986,78.0,102297.87559446903,102407.5164246659,6.89999999999884,12.800000000001432,2024-10-25,strat_a_meanrev,0.0075,,,,,,18.28079408489719,,,2.000000000001023,1.9999999999992895,152.073,152.562342,151.583658,152.20315844653211,151.9240415534679,86.3013698630165,BC
10,strat_a_meanrev,2024-10-25 17:05:00+00:00,2024-10-25 18:23:00+00:00,short,strat_a_window,152.266,152.193,152.24599999999998,152.206,142.27599999999998,partial_tp_then_be,6.650001557903997,182.29835100682595,417227,78.0,102407.5164246659,102589.81477567273,16.19999999999777,4.000000000002046,2024-10-25,strat_a_meanrev,0.0075,,,,,,22.79815412912807,,,2.000000000001023,3.3250007789502978,152.073,152.562342,151.583658,152.26276955577882,151.9917304442212,77.77777777778587,BC
11,strat_a_meanrev,2024-10-25 19:11:00+00:00,2024-10-25 20:32:00+00:00,short,strat_a_window,152.35,152.28400000000002,152.32999999999998,152.20477160493834,142.35999999999999,partial_tp_then_be,10.561419753081225,290.45071588968995,418648,81.0,102589.81477567273,102880.26549156242,15.999999999999659,3.6000000000001364,2024-10-25,strat_a_meanrev,0.0075,,,,,,34.79508759271916,,,2.000000000001023,5.280709876537911,152.073,152.562342,151.583658,152.30561445322982,152.0765855467702,67.54176610978251,BC
12,strat_b_breakout,2024-10-29 01:20:00+00:00,2024-10-29 01:50:00+00:00,short,strat_b_window,153.096,152.991,153.24900000000002,152.934,143.106,partial_tp_then_trail,13.919995570441595,468.44719678984563,514724,30.0,102880.26549156242,103348.71268835226,20.79999999999984,4.900000000000659,2024-10-29,strat_b_breakout,0.005,153.36,153.138,153.24900000000002,22.20000000000084,normal_12_30,30.07777304865917,153.10430445060686,-0.0007440379067731983,15.300000000002001,0.9098036320548872,,,,,,,
13,strat_a_meanrev,2024-10-29 20:46:00+00:00,2024-10-29 22:00:00+00:00,long,strat_a_window,153.36800000000002,153.358,153.08800000000002,153.4544785992218,163.35800000000003,session_close,-1.0000000000019327,-27.684437720941883,424563,74.0,103348.71268835226,103321.02825063131,4.79999999999734,3.6000000000029786,2024-10-29,strat_a_meanrev,0.0075,,,,,,19.99395948700583,,,28.000000000000114,-0.035714285714354595,153.18333333333337,153.74563733333338,152.62102933333335,153.49356934257244,153.36443065742756,28.431372549024942,BC
14,strat_a_meanrev,2024-10-30 16:34:00+00:00,2024-10-30 17:37:00+00:00,long,strat_a_window,153.05200000000002,153.188,153.188,153.11200000000002,163.04200000000003,news_tightened_stop,9.799999999998475,338.5950350542406,529192,63.0,103321.02825063131,103659.62328568555,20.199999999996976,5.600000000004002,2024-10-30,strat_a_meanrev,0.0075,,,,,,19.741386648709103,,,13.599999999996726,0.720588235294179,153.33266666666668,153.75745066666667,152.9078826666667,153.43324440289985,153.06475559710015,27.464788732394823,BC
15,strat_a_meanrev,2024-10-30 16:49:00+00:00,2024-10-30 17:37:00+00:00,long,strat_a_window,153.018,153.188,153.188,153.078,163.008,news_tightened_stop,11.499999999999488,468.3005543900899,623692,48.0,103659.62328568555,104127.92384007564,23.599999999999,1.700000000002433,2024-10-30,strat_a_meanrev,0.0075,,,,,,21.497945120269044,,,16.99999999999875,0.6764705882353138,153.33266666666668,153.75745066666667,152.9078826666667,153.42380507557098,153.00069492442898,32.362459546925606,AC
16,strat_a_meanrev,2024-10-30 19:10:00+00:00,2024-10-30 19:40:00+00:00,short,strat_a_window,153.36999999999998,153.34999999999997,153.34999999999997,153.30999999999997,143.37999999999997,sl_hit,4.000000000000625,111.60187984832173,427770,30.0,104127.92384007564,104239.52571992397,7.799999999997453,7.1000000000026375,2024-10-30,strat_a_meanrev,0.0075,,,,,,26.94886509425755,,,2.000000000001023,1.9999999999992895,153.33266666666668,153.75745066666667,152.9078826666667,153.2893644305338,153.16253556946623,71.69811320754843,BC
17,strat_a_meanrev,2024-10-30 19:20:00+00:00,2024-10-30 20:22:00+00:00,short,strat_a_window,153.38899999999998,153.36899999999997,153.36899999999997,153.32899999999998,143.39899999999997,sl_hit,3.9999953251701466,111.60174655113825,427823,62.0,104239.52571992397,104351.12746647511,11.199999999996635,3.700000000003456,2024-10-30,strat_a_meanrev,0.0075,,,,,,25.5942862579941,,,2.000000000001023,1.99999766258405,153.33266666666668,153.75745066666667,152.9078826666667,153.35907959592865,153.12422040407134,81.15942028985015,BC
