trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-04-30 18:26:00+00:00,2025-04-30 18:22:00+00:00,2,2025-04-30 19:35:00+00:00,short,142.931,142.8115,142.911,142.34533333333334,tp1_then_trailing_stop,10.364285714287291,104.18207651708556,5,143568,8.778571428571626,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-05-01,69.0,50000.0,50104.182076517085,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.34533333333334,142.64902333333333,142.83664333333334,142.04164333333335,141.85402333333334,142.91848452947863,142.7375,142.5565154705214,142.9544760604095,bearish,74.87684729064097,0.17557142857143251
2,2025-04-30 20:19:00+00:00,2025-04-30 20:15:00+00:00,2,2025-04-30 22:00:00+00:00,short,143.05,143.03,143.03,142.34533333333334,tp1_then_be_stop,4.000000000000625,66.2075534187344,5,236692,6.0,17.03333333333319,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-05-01,101.0,50104.182076517085,50170.38962993582,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.34533333333334,142.64902333333333,142.83664333333334,142.04164333333335,141.85402333333334,143.04708624659355,142.8595,142.67191375340644,143.091228,bearish,90.8587257617626,0.11842857142857051
3,2025-09-11 19:11:00+00:00,2025-09-11 19:08:00+00:00,1,2025-09-11 20:35:00+00:00,long,147.108,147.12800000000001,147.12800000000001,147.38666666666666,tp1_then_be_stop,4.000000000000625,40.30171708077161,5,148268,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-09-12,84.0,50170.38962993582,50210.69134701659,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.38666666666666,147.59371066666665,147.72162266666666,147.17962266666666,147.05171066666665,147.34960933001142,147.23345,147.1172906699886,147.15693150769152,bearish,26.234567901236034,0.08614285714285431
4,2025-09-24 18:48:00+00:00,2025-09-24 18:45:00+00:00,2,2025-09-24 22:00:00+00:00,short,148.829,148.8225,148.929,147.66133333333335,session_close,0.6500000000016827,18.35906868925783,4,420345,6.0,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-09-25,192.0,50210.69134701659,50229.050415705846,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.66133333333335,147.83972733333334,147.94993933333336,147.48293933333335,147.37272733333333,148.8144712721,148.7614,148.7083287279,148.77641559999998,bullish,67.60000000000446,0.053428571428568716
5,2025-10-28 19:15:00+00:00,2025-10-28 19:11:00+00:00,2,2025-10-28 19:39:00+00:00,long,152.054,151.954,151.954,152.894,sl,-9.999999999999432,-282.72371902021376,5,429610,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-10-29,24.0,50229.050415705846,49946.32669668563,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.894,153.158344,153.32165600000002,152.629656,152.466344,152.25560429587625,152.15320000000003,152.0507957041238,152.034,bullish,24.496644295302048,0.11064285714285761
6,2025-10-28 19:26:00+00:00,2025-10-28 19:22:00+00:00,3,2025-10-28 22:00:00+00:00,long,152.00199999999998,152.1265,152.022,152.894,tp1_then_session_close,9.225007509378695,260.46388324953944,5,429463,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-10-29,154.0,49946.32669668563,50206.79057993517,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.894,153.158344,153.32165600000002,152.629656,152.466344,152.26942385423095,152.1447,152.01997614576905,152.04110005782061,bearish,25.67567567567879,0.10342857142857399
7,2025-12-19 17:23:00+00:00,2025-12-19 17:20:00+00:00,2,2025-12-19 18:32:00+00:00,short,157.54600000000002,157.4935,157.526,155.608,tp1_then_trailing_stop,5.817857142857008,164.36498191104363,4,444930,6.385714285714325,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-12-20,69.0,50206.79057993517,50371.155561846215,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.608,155.873108,156.03689200000002,155.342892,155.17910799999999,157.5085766420007,157.4632,157.4178233579993,157.63143271935996,bearish,69.08212560386295,0.1277142857142865
8,2025-12-26 21:47:00+00:00,2025-12-26 21:44:00+00:00,1,2025-12-28 22:04:00+00:00,short,156.559,156.51049999999998,156.73799999999997,155.92999999999998,session_close,4.850000000001842,76.79374546758567,4,247815,6.0,17.899999999997362,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,2025-12-27,2897.0,50371.155561846215,50447.9493073138,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.92999999999998,156.20809599999998,156.37990399999995,155.65190399999997,155.480096,156.5840618380638,156.5242,156.4643381619362,156.6,bearish,66.66666666667132,0.06371428571428746
9,2026-01-08 19:47:00+00:00,2026-01-08 19:44:00+00:00,2,2026-01-08 22:04:00+00:00,short,156.96,156.8535,156.94,156.62033333333335,tp1_then_session_close,8.32500000000067,92.21327606661953,5,173760,6.0,25.633333333334463,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,2026-01-09,137.0,50447.9493073138,50540.16258338042,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.62033333333335,156.81744533333335,156.93922133333334,156.42322133333334,156.30144533333336,156.9706787186706,156.8861,156.8015212813294,156.93834169599998,bullish,74.17840375587105,0.06414285714285484
10,2026-01-16 20:15:00+00:00,2026-01-16 20:11:00+00:00,3,2026-01-18 22:04:00+00:00,long,158.077,157.9105,157.836,158.57500000000002,session_close,-16.6499999999985,-196.61298647016633,5,186470,6.0,24.099999999998545,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,2026-01-17,2989.0,50540.16258338042,50343.549596910256,TOKYO_MEANREV,tokyo_meanrev,tokyo,158.57500000000002,158.826738,158.98226200000002,158.32326200000003,158.167738,158.21520797256457,158.15455000000003,158.0938920274355,158.12,bearish,24.4791666666642,0.06407142857142796
