session_day,trades,wins,wr,net_usd,net_pips,pf,mr_trades,bo_trades,news_trades,weekday,month
2023-10-10,1,1,100.0,10.259234290365926,0.2999999999985903,inf,1,0,0,Tuesday,October
2023-10-12,2,0,0.0,-143.6254777584575,-4.2000000000058435,0.0,2,0,0,Thursday,October
2023-10-13,2,0,0.0,-179.38692352914683,-12.000000000003297,0.0,0,2,0,Friday,October
2023-10-16,4,2,50.0,-198.9761624621473,-4.006201208859064,0.5158217241053825,4,0,0,Monday,October
2023-10-17,1,1,100.0,165.94203946422863,4.8799999475611555,inf,1,0,0,Tuesday,October
2023-10-18,3,2,66.66666666666666,-512.0014288166508,-15.339978249184213,0.09282853345079886,1,2,0,Wednesday,October
2023-10-19,2,0,0.0,-249.15102300279224,-7.360002412187725,0.0,2,0,0,Thursday,October
2023-10-20,4,3,75.0,112.07948319886029,3.399999999993497,1968799888417.2644,4,0,0,Friday,October
2023-10-23,2,0,0.0,-340.4288718438976,-7.2000012373545825,0.0,2,0,0,Monday,October
2023-10-24,2,0,0.0,-217.1541952085479,-8.100000000007412,0.0,0,2,0,Tuesday,October
2023-10-25,1,0,0.0,-268.4737803983718,-8.00000000000125,0.0,1,0,0,Wednesday,October
2023-10-26,1,0,0.0,-33.79469705039152,-1.4000000000010004,0.0,0,1,0,Thursday,October
2023-10-27,2,2,100.0,146.14583139012706,13.09999999999718,inf,0,2,0,Friday,October
2023-10-30,4,0,0.0,-533.7033733061874,-18.400000000005434,0.0,2,2,0,Monday,October
2023-10-31,2,0,0.0,-349.2667107479884,-10.500000000004661,0.0,2,0,0,Tuesday,October
2023-11-02,2,0,0.0,-258.58906498710127,-7.800000000003139,0.0,2,0,0,Thursday,November
2023-11-03,1,0,0.0,-67.4498364210431,-2.0399966754685086,0.0,1,0,0,Friday,November
2023-11-06,1,0,0.0,-517.3493457212476,-15.679990118278477,0.0,1,0,0,Monday,November
2023-11-07,5,2,40.0,-241.38004312987445,-4.10000000001105,0.4332581035017928,2,3,0,Tuesday,November
2023-11-08,1,0,0.0,-45.81439968101924,-1.4000000000038426,0.0,1,0,0,Wednesday,November
2023-11-13,2,2,100.0,263.0383743607962,12.39999999999668,inf,0,2,0,Monday,November
2023-11-14,3,0,0.0,-372.60242538566814,-11.359978760996636,0.0,3,0,0,Tuesday,November
2023-11-16,3,0,0.0,-536.1144181845243,-14.900000000002933,0.0,0,3,0,Thursday,November
2023-11-17,2,1,50.0,-97.62378427378496,-12.339990637148153,0.29659230207417997,1,1,0,Friday,November
2023-11-23,1,0,0.0,-524.6566007300447,-16.159989905918646,0.0,1,0,0,Thursday,November
2023-11-24,2,2,100.0,699.3028945185561,21.699999999998454,inf,2,0,0,Friday,November
2023-11-27,2,2,100.0,80.2975612036699,2.0999999999958163,inf,2,0,0,Monday,November
2023-11-28,1,0,0.0,-143.10397256208222,-4.400000000001114,0.0,1,0,0,Tuesday,November
2023-11-29,3,0,0.0,-486.24519770499893,-15.000000000009095,0.0,3,0,0,Wednesday,November
2023-12-04,2,1,50.0,-174.5163803984995,-5.000000000006821,0.021983010097870317,2,0,0,Monday,December
2023-12-05,1,1,100.0,32.19457535946198,0.9999999999962483,inf,1,0,0,Tuesday,December
2023-12-06,1,1,100.0,243.09416810812718,7.544351075162873,inf,1,0,0,Wednesday,December
2023-12-07,2,0,0.0,-184.12768087909603,-5.7000000000073205,0.0,2,0,0,Thursday,December
2023-12-08,1,0,0.0,-51.571896107576435,-1.6000000000019554,0.0,1,0,0,Friday,December
2023-12-11,3,0,0.0,-536.6679986993504,-16.700000000005844,0.0,3,0,0,Monday,December
2023-12-12,1,0,0.0,-102.40193219481812,-3.2000000000010687,0.0,1,0,0,Tuesday,December
2023-12-18,3,2,66.66666666666666,120.01922745948634,3.799999999995407,1.3546192022066659,3,0,0,Monday,December
2023-12-19,1,0,0.0,-236.92739093197974,-7.400000000001228,0.0,1,0,0,Tuesday,December
2023-12-20,1,0,0.0,-159.47395088638632,-5.000000000001137,0.0,1,0,0,Wednesday,December
2023-12-22,1,1,100.0,6.368313539801567,0.1999999999981128,inf,1,0,0,Friday,December
2023-12-27,3,0,0.0,-404.13881310774764,-12.700000000006638,0.0,3,0,0,Wednesday,December
2023-12-28,3,0,0.0,-446.8092812707604,-12.200000000007094,0.0,3,0,0,Thursday,December
2024-01-03,3,3,100.0,721.9739325054591,22.865688953229448,inf,3,0,0,Wednesday,January
2024-01-04,1,0,0.0,-220.1221326028378,-6.920003342834661,0.0,1,0,0,Thursday,January
2024-01-09,1,1,100.0,107.77138331570796,3.3999999999991815,inf,1,0,0,Tuesday,January
2024-01-10,1,1,100.0,151.11146040264816,4.757647058821135,inf,1,0,0,Wednesday,January
2024-01-11,1,0,0.0,-662.0992071261288,-20.78000000000145,0.0,1,0,0,Thursday,January
2024-01-12,1,0,0.0,-69.40654160536772,-2.2000000000048203,0.0,1,0,0,Friday,January
2024-01-17,2,2,100.0,473.13825497881805,14.999999999997726,inf,2,0,0,Wednesday,January
2024-01-18,2,2,100.0,786.9600605100748,24.79999999999336,inf,2,0,0,Thursday,January
2024-01-24,2,1,50.0,-347.04721892482655,-10.801416605055566,0.236539969102404,2,0,0,Wednesday,January
2024-01-25,1,0,0.0,-149.7936654096697,-4.700000000002547,0.0,1,0,0,Thursday,January
2024-01-29,3,2,66.66666666666666,519.0596824682077,10.591678895318507,3.8571204486487964,2,1,0,Monday,January
2024-01-30,2,1,50.0,166.14334688913755,5.199999999996407,2.994764674284781,2,0,0,Tuesday,January
2024-01-31,2,1,50.0,425.7084139560257,13.299999999998136,5.736206484213767,2,0,0,Wednesday,January
2024-02-01,1,0,0.0,-177.39427137535083,-5.500000000003524,0.0,1,0,0,Thursday,February
2024-02-05,2,2,100.0,278.8438056584107,8.656081031571919,inf,2,0,0,Monday,February
2024-02-06,3,1,33.33333333333333,-20.66397710944602,-0.6000000000028649,0.8266217704772246,0,3,0,Tuesday,February
2024-02-07,3,1,33.33333333333333,-190.7782211649918,-5.900000000005434,0.3845713617756921,3,0,0,Wednesday,February
2024-02-08,1,1,100.0,321.2199104805003,12.771428571429055,inf,0,1,0,Thursday,February
2024-02-09,1,0,0.0,-155.2305076122719,-4.800000000003024,0.0,1,0,0,Friday,February
2024-02-12,3,2,66.66666666666666,-99.08882829165447,-2.600000000003888,0.24575973185898933,2,1,0,Monday,February
2024-02-13,3,2,66.66666666666666,-64.5223112475052,-2.0000000000038654,0.3749175418257707,3,0,0,Tuesday,February
2024-02-14,1,0,0.0,-37.495854812139385,-1.8000000000000682,0.0,0,1,0,Wednesday,February
2024-02-15,1,0,0.0,-301.53404200132275,-7.100000000002637,0.0,1,0,0,Thursday,February
2024-02-19,3,0,0.0,-835.9071983131148,-26.100000000008095,0.0,3,0,0,Monday,February
2024-02-20,5,1,20.0,-350.4895166906164,-10.300000000006548,0.21639381627142998,3,2,0,Tuesday,February
2024-02-21,2,0,0.0,-271.62003644733613,-8.600000281395529,0.0,2,0,0,Wednesday,February
2024-02-22,4,2,50.0,-150.84123289042955,-3.8000000000067757,0.19875058246344848,2,2,0,Thursday,February
2024-02-23,2,1,50.0,-14.743222294625689,0.3800008879546046,0.5403459876333078,1,1,0,Friday,February
2024-02-26,1,0,0.0,-147.80241774617684,-4.700000000002547,0.0,1,0,0,Monday,February
2024-02-27,2,0,0.0,-631.2490185269228,-23.900000000006116,0.0,0,2,0,Tuesday,February
2024-02-28,3,1,33.33333333333333,51.720298324035696,-0.2800015085399643,1.4539501219017168,1,2,0,Wednesday,February
2024-02-29,2,2,100.0,528.1174195606633,19.999999999998863,inf,0,2,0,Thursday,February
2024-03-04,2,2,100.0,478.1019682162565,15.254781293236576,inf,2,0,0,Monday,March
2024-03-06,2,2,100.0,198.71341552909817,6.299999999998818,inf,2,0,0,Wednesday,March
2024-03-07,3,0,0.0,-674.5259800813697,-20.30000000000598,0.0,3,0,0,Thursday,March
2024-03-08,3,1,33.33333333333333,-158.99742512195127,-5.029757169275502,0.5975490897130955,3,0,0,Friday,March
2024-03-11,1,1,100.0,40.85968783179296,0.5999999999971806,inf,1,0,0,Monday,March
2024-03-12,2,1,50.0,376.4047492711209,12.059994680488337,4.53486214209277,2,0,0,Tuesday,March
2024-03-13,2,0,0.0,-150.36337683032923,-4.78000094812259,0.0,2,0,0,Wednesday,March
2024-03-15,2,0,0.0,-325.94395874989374,-9.300000000004616,0.0,2,0,0,Friday,March
2024-03-18,2,1,50.0,1013.9073028848725,13.719999999997867,6.415606982850709,2,0,0,Monday,March
2024-03-19,4,1,25.0,-1209.882398489063,-19.500000000007844,0.03536185389317293,4,0,0,Tuesday,March
2024-03-20,3,2,66.66666666666666,61.90153580711389,1.9999999999924967,1.320205425223051,3,0,0,Wednesday,March
2024-03-21,2,1,50.0,-86.60623913464549,-2.9000000000024784,0.2888369732063015,2,0,0,Thursday,March
2024-03-25,4,2,50.0,651.9445828642225,14.960068246502852,10.433036141752574,4,0,0,Monday,March
2024-03-27,4,0,0.0,-885.054111593962,-23.900000000006116,0.0,4,0,0,Wednesday,March
2024-03-28,3,0,0.0,-878.9889935405554,-39.58000000000254,0.0,1,2,0,Thursday,March
2024-03-29,3,2,66.66666666666666,587.857031662333,16.440005301623273,4.1031346496018015,3,0,0,Friday,March
2024-04-01,4,2,50.0,-61.87440494109749,-0.9200000000066662,0.7535167948221364,4,0,0,Monday,April
2024-04-02,5,0,0.0,-776.1409019831108,-24.400000000008504,0.0,5,0,0,Tuesday,April
2024-04-03,3,1,33.33333333333333,132.53852684259385,2.75999667676213,2.109062998430542,3,0,0,Wednesday,April
2024-04-04,1,1,100.0,70.57939067735838,2.2999999999967713,inf,1,0,0,Thursday,April
2024-04-05,2,0,0.0,-227.4249613673617,-7.40000000000407,0.0,2,0,0,Friday,April
2024-04-08,2,0,0.0,-876.3467720847625,-13.30000000000382,0.0,2,0,0,Monday,April
2024-04-09,5,1,20.0,-540.9075115046458,-15.900000000007708,0.03235326633062379,5,0,0,Tuesday,April
2024-04-15,3,1,33.33333333333333,-950.9907418089409,-14.500000000006708,0.013831725408734185,2,1,0,Monday,April
2024-04-16,1,0,0.0,-106.82785164459503,-3.6000000000029786,0.0,1,0,0,Tuesday,April
2024-04-17,2,1,50.0,-239.0758211363853,-8.039990662203904,0.25687885168932745,2,0,0,Wednesday,April
2024-04-18,4,1,25.0,-245.0650147494031,-8.299990133665009,0.05694570479142491,4,0,0,Thursday,April
2024-04-19,3,2,66.66666666666666,200.0195783149695,11.962865111324756,1.8294845919066596,1,2,0,Friday,April
2024-04-22,4,0,0.0,-733.512185498857,-11.700000000010391,0.0,4,0,0,Monday,April
2024-04-23,1,0,0.0,-178.38519571485264,-6.100001031452429,0.0,1,0,0,Tuesday,April
2024-04-24,3,0,0.0,-251.91751354265685,-8.400000000008845,0.0,1,2,0,Wednesday,April
2024-04-25,5,0,0.0,-1148.1837783110138,-37.40000000000521,0.0,5,0,0,Thursday,April
2024-04-26,4,2,50.0,-417.08057631923555,-11.100000000010368,0.13109274208320054,4,0,0,Friday,April
2024-04-29,1,0,0.0,-446.37446363929575,-15.679973074639015,0.0,1,0,0,Monday,April
2024-05-01,3,0,0.0,-366.6519183825668,-13.00000000000523,0.0,3,0,0,Wednesday,May
2024-05-03,1,0,0.0,-154.65009900086216,-5.500000000000682,0.0,1,0,0,Friday,May
2024-05-06,3,1,33.33333333333333,1050.0448984457084,16.09999999999161,4.751638053455211,3,0,0,Monday,May
2024-05-07,3,2,66.66666666666666,71.37351163016075,0.9999999999934062,1.3800569443554398,3,0,0,Tuesday,May
2024-05-10,1,1,100.0,1.141358469848642,0.039999142593096775,inf,1,0,0,Friday,May
2024-05-13,4,1,25.0,-464.74702659970717,-18.80000000001303,0.31941448242025927,2,2,0,Monday,May
2024-05-14,4,1,25.0,-192.8373012999023,-8.136472977241706,0.3672478999567018,2,2,0,Tuesday,May
2024-05-15,3,2,66.66666666666666,-67.2298752600844,-2.5000000000062528,0.5152308656027167,0,3,0,Wednesday,May
2024-05-16,2,1,50.0,19.647509630966297,0.699999999997658,1.3162194401096061,2,0,0,Thursday,May
2024-05-17,1,0,0.0,-73.34203588204652,-2.6000000000038876,0.0,1,0,0,Friday,May
2024-05-20,3,0,0.0,-424.1302598772352,-14.600000000004343,0.0,1,2,0,Monday,May
