trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2023-07-21 19:00:00+00:00,2023-07-21 18:59:00+00:00,1,2023-07-21 19:21:00+00:00,short,141.79850000000002,141.7785,141.7785,139.89066666666668,tp1_then_be_stop,4.000000000000625,112.53960527378047,5,398808,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.500000000002615,3.6999999999977717,2023-07-22,21.0,50000.0,50112.53960527378,TOKYO_MEANREV,tokyo_meanrev,tokyo,139.89066666666668,140.42088266666667,140.74845066666666,139.36045066666668,139.0328826666667,141.80875519679685,141.71734999999998,141.6259448032031,141.7599,bullish,74.31906614785944,0.07557142857143008
2,2023-08-04 20:26:00+00:00,2023-08-04 20:25:00+00:00,1,2023-08-06 21:03:00+00:00,long,141.7885,141.8085,141.8085,142.8323333333333,tp1_then_be_stop,3.9999859886093643,40.254374442658,5,142741,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.600000000000364,10.599999999999454,2023-08-05,2917.0,50112.53960527378,50152.793979716436,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.8323333333333,143.5294833333333,143.9601833333333,142.13518333333332,141.70448333333331,141.88142771251475,141.8244,141.76737228748524,141.758,bullish,23.287671232873237,0.04907142857143348
3,2023-08-10 17:44:00+00:00,2023-08-10 17:43:00+00:00,1,2023-08-10 17:48:00+00:00,short,144.6325,144.61249999999998,144.61249999999998,143.47666666666666,tp1_then_be_stop,3.999995098292135,112.88240437151839,5,408021,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,9,strong,immediate,6.299999999998818,2.000000000001023,2023-08-11,4.0,50152.793979716436,50265.67638408796,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.47666666666666,143.76316666666665,143.94016666666667,143.19016666666667,143.01316666666665,144.62288681079994,144.4849,144.34691318920008,144.697,bearish,87.17105263157507,0.09871428571428607
4,2023-08-16 17:13:00+00:00,2023-08-16 17:10:00+00:00,3,2023-08-16 17:43:00+00:00,short,145.9325,146.0855,146.2125,145.5103333333333,early_exit_dead_wrong,-15.29999999999916,-154.33691913296502,5,147362,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,0.10000000000047748,23.499999999998522,2023-08-17,30.0,50265.67638408796,50111.339464954995,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.5103333333333,145.80141733333332,145.9812493333333,145.2192493333333,145.03941733333332,145.95495472569763,145.86,145.7650452743024,145.97,bearish,79.56521739130473,0.08792857142856901
5,2023-08-18 17:18:00+00:00,2023-08-18 17:15:00+00:00,3,2023-08-18 17:37:00+00:00,long,145.0435,145.0635,145.0635,146.006,tp1_then_be_stop,4.2410659470758505,119.50082750085596,4,408843,6.482142857142849,10.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,9.800000000001319,1.2999999999976808,2023-08-19,19.0,50111.339464954995,50230.840292455854,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.006,146.367372,146.590628,145.644628,145.421372,145.2964040211943,145.1472,144.9979959788057,144.928,bullish,34.46808510638249,0.12964285714285698
6,2023-09-01 20:56:00+00:00,2023-09-01 20:52:00+00:00,4,2023-09-03 21:03:00+00:00,short,146.2135,146.21949999999998,146.1935,145.70933333333335,tp1_then_session_close,2.69997763364053,27.257833671759588,5,147543,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,10.200000000000387,2.5999999999982037,2023-09-02,2887.0,50230.840292455854,50258.09812612761,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.70933333333335,146.04472933333335,146.25193733333336,145.37393733333334,145.16672933333334,146.2514900975478,146.1909,146.1303099024522,146.286,bearish,73.00613496932814,0.045500000000006126
7,2023-09-05 17:23:00+00:00,2023-09-05 17:22:00+00:00,1,2023-09-05 17:53:00+00:00,short,147.6945,147.7635,147.7945,146.33,early_exit_dead_wrong,-6.89999999999884,-194.97268269900997,5,417534,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,0.0,7.099999999999795,2023-09-06,30.0,50258.09812612761,50063.1254434286,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.33,146.511832,146.62416800000003,146.14816800000003,146.035832,147.70171836401988,147.62745,147.55318163598014,147.732,bearish,76.19047619047711,0.11249999999999513
8,2023-09-08 19:16:00+00:00,2023-09-08 19:14:00+00:00,2,2023-09-10 21:03:00+00:00,short,147.8485,147.40066666666667,147.8285,147.40066666666667,tp1_then_tp2,25.391797079032237,256.0682202638136,5,148695,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,85.30000000000086,2.5999999999982037,2023-09-09,2987.0,50063.1254434286,50319.193663692415,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.40066666666667,147.71772666666666,147.91360666666665,147.08360666666667,146.88772666666668,147.83892988102593,147.76115,147.68337011897404,147.873,bearish,86.7052023121411,0.052785714285718655
9,2023-09-19 18:26:00+00:00,2023-09-19 18:23:00+00:00,3,2023-09-19 20:16:00+00:00,short,147.8825,147.86249999999998,147.86249999999998,147.68166666666664,tp1_then_be_stop,3.999990531334807,57.15184490492367,5,211223,6.0,19.816666666665128,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,7.499999999998863,2.5000000000005684,2023-09-20,110.0,50319.193663692415,50376.34550859734,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.68166666666664,147.80352466666665,147.87880866666663,147.55980866666664,147.48452466666666,147.89166953911976,147.8385,147.78533046088026,147.922,bearish,71.91011235955074,0.04571428571428474
10,2023-10-17 17:16:00+00:00,2023-10-17 17:12:00+00:00,4,2023-10-17 17:46:00+00:00,short,149.7785,149.8305,150.0226666666667,149.5566666666667,early_exit_dead_wrong,-5.19999999999925,-60.32715635333724,5,173824,6.0,24.41666666667004,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,0.0,5.49999999999784,2023-10-18,30.0,50376.34550859734,50316.018352244006,TOKYO_MEANREV,tokyo_meanrev,tokyo,149.5566666666667,149.7041186666667,149.7952146666667,149.4092146666667,149.3181186666667,149.7804880576031,149.72134999999997,149.66221194239685,149.79,bearish,78.72340425533287,0.06521428571428853
