trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,adx_m15,ema20_m5,roc10_m5,sl_pips,R,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,combo
1,strat_b_breakout,2023-06-21 01:40:00+00:00,2023-06-21 02:00:00+00:00,long,strat_b_window,141.60000000000002,141.59799999999998,141.406982,141.72364285714286,151.59000000000003,session_close,-0.20000000000379714,-5.180934759063886,366805,20.0,100000.0,99994.81906524094,3.799999999995407,2.600000000003888,2023-06-21,strat_b_breakout,0.005,141.483,141.284,141.3835,19.900000000001228,normal_12_30,27.16225516958651,141.5730896413613,0.0002684487898611902,19.301800000002345,-0.010361727921943696,,,,,,,
2,strat_a_meanrev,2023-06-21 16:37:00+00:00,2023-06-21 22:00:00+00:00,long,strat_a_window,141.93,141.857,141.65,141.99,151.92000000000002,session_close,-7.30000000000075,-195.62571462813153,380149,323.0,99994.81906524094,99799.19335061281,3.099999999997749,25.600000000002865,2023-06-21,strat_a_meanrev,0.0075,,,,,,33.22092944008972,,,28.000000000000114,-0.26071428571431143,141.40966666666668,141.46582066666667,141.3535126666667,142.1289064759849,141.9188935240151,37.33681462140915,BCD
3,strat_a_meanrev,2023-06-21 16:53:00+00:00,2023-06-21 22:00:00+00:00,long,strat_a_window,141.931,141.857,141.651,141.991,151.92100000000002,session_close,-7.400000000001228,-198.30708389437723,380152,307.0,99799.19335061281,99600.88626671843,2.9999999999972715,25.700000000003342,2023-06-21,strat_a_meanrev,0.0075,,,,,,32.21928354629653,,,28.000000000000114,-0.2642857142857571,141.40966666666668,141.46582066666667,141.3535126666667,142.13527564854363,141.8818243514564,34.68354430379668,BC
4,strat_a_meanrev,2023-06-22 16:36:00+00:00,2023-06-22 17:22:00+00:00,short,strat_a_window,142.926,143.02599999999998,143.02599999999998,142.86599999999999,132.93599999999998,sl_hit,-9.999999999999432,-699.1735768321447,1000000,46.0,99600.88626671843,98901.71268988629,0.0,12.60000000000332,2023-06-22,strat_a_meanrev,0.0075,,,,,,31.570542819290004,,,9.999999999999432,-1.0,141.83733333333333,142.25294933333333,141.42171733333333,142.97648282249847,142.77201717750157,62.87128712870932,AC
5,strat_a_meanrev,2023-06-22 16:46:00+00:00,2023-06-22 17:22:00+00:00,short,strat_a_window,142.92999999999998,143.02999999999997,143.02999999999997,142.86999999999998,132.93999999999997,sl_hit,-9.999999999999432,-699.1540236313665,1000000,36.0,98901.71268988629,98202.55866625493,0.0,12.200000000004252,2023-06-22,strat_a_meanrev,0.0075,,,,,,34.49481791951461,,,9.999999999999432,-1.0,141.83733333333333,142.25294933333333,141.42171733333333,142.98541129776055,142.79708870223942,64.65753424657373,ACD
6,strat_a_meanrev,2023-06-23 20:52:00+00:00,2023-06-25 22:00:00+00:00,long,strat_a_window,143.74200000000002,143.618,143.46200000000002,143.80200000000002,153.73200000000003,session_close,-12.400000000002365,-326.4538428331333,378102,2948.0,98202.55866625493,97876.1048234218,0.0,20.90000000000316,2023-06-23,strat_a_meanrev,0.0075,,,,,,25.279728463435568,,,28.000000000000114,-0.4428571428572255,142.639,143.257458,142.020542,143.79918331796355,143.72651668203648,36.84210526315475,BCD
7,strat_b_breakout,2023-06-27 01:55:00+00:00,2023-06-27 02:00:00+00:00,short,strat_b_window,143.29299999999998,143.39600000000002,143.432266,143.1855357142857,133.30299999999997,session_close,-10.300000000003706,-361.6815880500059,503531,5.0,97876.1048234218,97514.4232353718,0.0,11.700000000001864,2023-06-27,strat_b_breakout,0.005,143.533,143.37,143.4515,16.29999999999825,normal_12_30,38.15199452376461,143.40546571365192,-0.0010665439792548134,13.926600000002054,-0.739591860181393,,,,,,,
8,strat_a_meanrev,2023-06-27 17:11:00+00:00,2023-06-27 17:45:00+00:00,short,strat_a_window,144.057,144.03699999999998,144.03699999999998,143.97452380952382,134.06699999999998,sl_hit,5.123809523809086,355.85294101081945,1000000,34.0,97514.4232353718,97870.27617638261,9.299999999998931,3.900000000001569,2023-06-27,strat_a_meanrev,0.0075,,,,,,29.655258202666896,,,2.000000000001023,2.5619047619032327,143.37966666666668,143.67953666666668,143.07979666666668,144.05336664038566,143.88403335961436,54.16666666666482,AB
9,strat_a_meanrev,2023-06-27 17:26:00+00:00,2023-06-27 20:47:00+00:00,short,strat_a_window,143.992,144.09199999999998,144.09199999999998,143.932,134.00199999999998,sl_hit,-9.999999999999432,-694.0010548815641,1000000,201.0,97870.27617638261,97176.27512150105,2.7999999999991587,10.200000000003229,2023-06-27,strat_a_meanrev,0.0075,,,,,,29.56637728471853,,,9.999999999999432,-1.0,143.37966666666668,143.67953666666668,143.07979666666668,144.06943443266167,143.87866556733834,63.97058823529314,ACD
10,strat_a_meanrev,2023-06-27 18:41:00+00:00,2023-06-27 22:00:00+00:00,short,strat_a_window,144.029,144.061,144.129,143.969,134.039,session_close,-3.2000000000010687,-222.12812627991397,1000000,199.0,97176.27512150105,96954.14699522113,2.2999999999996135,6.900000000001683,2023-06-27,strat_a_meanrev,0.0075,,,,,,34.517375905629535,,,9.999999999999432,-0.3200000000001251,143.37966666666668,143.67953666666668,143.07979666666668,144.0668446913298,143.95335530867018,63.39622641509033,ACD
