trade_number,time,equity,drawdown_usd,drawdown_pct
1,2023-06-21 00:52:00+00:00,99632.73723761886,0.0,0.0
2,2023-06-22 00:46:00+00:00,99405.66610508053,227.07113253833086,0.22790815432158418
3,2023-06-26 00:22:00+00:00,99028.91841440432,603.818823214533,0.6060445993513727
4,2023-06-26 00:33:00+00:00,98470.59450278692,1162.1427348319412,1.1664265853303735
5,2023-06-26 00:54:00+00:00,98791.46951499386,841.2677226249943,0.8443687747116843
6,2023-06-28 06:00:00+00:00,98780.070198536,852.6670390828513,0.8558101109370158
7,2023-06-28 06:00:00+00:00,98780.07019853592,852.6670390829386,0.8558101109371034
8,2023-06-30 00:48:00+00:00,98930.2551258799,702.4821117389511,0.7050715770897351
9,2023-06-30 00:59:00+00:00,98665.24482257772,967.4924150411389,0.9710587522389555
10,2023-06-30 06:00:00+00:00,98619.47128135592,1013.2659562629415,1.017001022310925
11,2023-07-03 01:17:00+00:00,99119.18181996387,513.5554176549922,0.5154484679369888
12,2023-07-04 00:35:00+00:00,98749.42424033399,883.3129972848692,0.886569035214012
13,2023-07-04 06:00:00+00:00,98646.85129845784,985.8859391610167,0.9895200779335515
14,2023-07-05 01:03:00+00:00,98833.18234288855,799.5548947303032,0.802502186428349
15,2023-07-05 02:00:00+00:00,98710.65559366124,922.0816439576156,0.925480589536047
16,2023-07-05 05:44:00+00:00,98576.70647861695,1056.0307590019074,1.059923463191952
17,2023-07-05 05:44:00+00:00,98530.53232209031,1102.2049155285495,1.1062678253030913
18,2023-07-06 00:50:00+00:00,98757.42850173532,875.3087358835328,0.8785352687801473
19,2023-07-10 00:38:00+00:00,98595.9694737185,1036.7677639003523,1.0405894615017106
20,2023-07-10 00:38:00+00:00,98034.3886236254,1598.348613993454,1.6042403915707708
21,2023-07-10 00:55:00+00:00,97781.74108799137,1850.9961496274918,1.8578192278437187
22,2023-07-11 00:26:00+00:00,96944.72359530507,2688.0136423137883,2.69792210556558
23,2023-07-12 00:33:00+00:00,96673.14280659193,2959.594431026926,2.9705039860226345
24,2023-07-12 00:54:00+00:00,96735.00648913794,2897.7307484809135,2.9084122637020173
25,2023-07-13 00:04:00+00:00,96483.37769413673,3149.3595434821327,3.160968604095535
26,2023-07-13 00:18:00+00:00,96205.36118961958,3427.376047999278,3.440009923470401
27,2023-07-14 00:36:00+00:00,96131.74787282883,3500.9893647900317,3.5138945911325865
28,2023-07-17 00:04:00+00:00,95784.89854323633,3847.8386943825317,3.862022464770428
29,2023-07-17 00:18:00+00:00,95063.16870115066,4569.568536468199,4.586412722527153
30,2023-07-17 00:42:00+00:00,94485.51800652561,5147.219231093244,5.166192733235258
31,2023-07-18 00:10:00+00:00,94096.52637273807,5536.210864880792,5.556618254577527
32,2023-07-19 00:03:00+00:00,94051.36400761064,5581.373230008219,5.601947095658867
33,2023-07-24 00:20:00+00:00,93629.33773827931,6003.399499339546,6.025529023679991
34,2023-07-24 00:51:00+00:00,93932.80885091703,5699.928386701824,5.720939266285331
35,2023-07-26 00:21:00+00:00,93383.42438311383,6249.312854505028,6.272348856180418
36,2023-07-26 00:39:00+00:00,92946.07943029929,6686.657807319571,6.711305934887888
37,2023-07-28 00:01:00+00:00,92510.72545507814,7122.0117825407215,7.148264696928979
38,2023-07-31 00:02:00+00:00,91942.27717676577,7690.460060853089,7.718808369694536
39,2023-08-03 04:17:00+00:00,91780.50861258172,7852.22862503714,7.881173239584882
40,2023-08-03 04:42:00+00:00,91447.617840139,8185.119397479852,8.21529110252062
41,2023-08-04 00:53:00+00:00,91385.44094329023,8247.296294328626,8.27769719370377
42,2023-08-07 00:50:00+00:00,90883.67018351023,8749.06705410863,8.781317563566041
43,2023-08-07 00:50:00+00:00,90386.86270141031,9245.874536208546,9.279956360285095
44,2023-08-08 00:24:00+00:00,90083.34177554394,9549.395462074914,9.584596114528205
45,2023-08-08 00:50:00+00:00,89896.03691174561,9736.700325873244,9.772591415060417
46,2023-08-09 01:05:00+00:00,89923.0615320874,9709.675705531452,9.745467177494465
47,2023-08-10 00:20:00+00:00,89649.84019519413,9982.897042424724,10.019695653463819
48,2023-08-10 00:30:00+00:00,89470.72491861376,10162.012319005094,10.199471178603904
49,2023-08-10 00:54:00+00:00,89379.04077981952,10253.696457799335,10.291493280310874
