trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,adx_m15,combo,sl_pips,R,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,ema20_m5,roc10_m5
1,strat_a_meanrev,2023-06-27 19:26:00+00:00,2023-06-27 22:00:00+00:00,short,strat_a_window,144.03,144.061,144.13,143.97,134.04,session_close,-3.100000000000591,-215.18662233363585,1000000,154.0,100000.0,99784.81337766636,2.400000000000091,6.800000000001205,2023-06-27,strat_a_meanrev,0.0075,143.37966666666668,143.67953666666668,143.07979666666668,144.056887763888,143.98171223611197,68.55345911948707,29.450330979679993,ABCE,9.999999999999432,-0.3100000000000767,,,,,,,
2,strat_a_meanrev,2023-06-27 20:55:00+00:00,2023-06-27 22:00:00+00:00,short,strat_a_window,144.07,144.061,144.17,144.01,134.07999999999998,session_close,0.899999999998613,62.47353551610866,1000000,65.0,99784.81337766636,99847.28691318247,3.999999999999204,2.600000000001046,2023-06-27,strat_a_meanrev,0.0075,143.37966666666668,143.67953666666668,143.07979666666668,144.07668919465377,144.0126108053462,68.18181818181819,30.31508811143213,ABCE,9.999999999999432,0.08999999999986642,,,,,,,
3,strat_a_meanrev,2023-06-28 19:42:00+00:00,2023-06-28 20:20:00+00:00,short,strat_a_window,144.362,144.462,144.462,144.27877720207255,134.37199999999999,sl_hit,-9.999999999999432,-692.2235605210667,1000000,38.0,99847.28691318247,99155.0633526614,0.0,10.400000000001342,2023-06-28,strat_a_meanrev,0.0075,143.83,144.17150800000002,143.488492,144.3726360316499,144.2652639683501,65.38461538461725,30.808734434800435,ABCE,9.999999999999432,-1.0,,,,,,,
4,strat_a_meanrev,2023-06-29 18:27:00+00:00,2023-06-29 22:00:00+00:00,short,strat_a_window,144.868,144.79000000000002,144.84799999999998,144.808,134.878,partial_tp_then_session_close,6.89999999999884,476.5264930191777,1000000,213.0,99155.0633526614,99631.58984568057,12.999999999999545,3.4000000000020236,2023-06-29,strat_a_meanrev,0.0075,144.24799999999996,144.58721599999996,143.90878399999997,144.87613703884176,144.76736296115826,68.9320388349532,25.057451850818236,ABCE,2.000000000001023,3.4499999999976554,,,,,,,
5,strat_a_meanrev,2023-06-30 17:01:00+00:00,2023-07-02 22:00:00+00:00,long,strat_a_window,144.335,144.333,144.22138800000002,144.40731250000002,154.32500000000002,session_close,-0.20000000000095497,-13.15437218106092,949305,3179.0,99631.58984568057,99618.43547349951,5.999999999997385,10.700000000002774,2023-06-30,strat_a_meanrev,0.0075,144.59400000000002,144.886612,144.30138800000003,144.63863042322095,144.34186957677906,31.69291338582643,23.7219215381332,ABC,11.361199999998917,-0.017603774249284762,,,,,,,
6,strat_a_meanrev,2023-07-05 18:36:00+00:00,2023-07-05 21:10:00+00:00,short,strat_a_window,144.649,144.629,144.629,144.589,134.659,sl_hit,4.000000000000625,276.6270899096534,1000000,154.0,99618.43547349951,99895.06256340917,7.399999999998386,5.700000000001637,2023-07-05,strat_a_meanrev,0.0075,144.45600000000002,144.64623600000002,144.26576400000002,144.67217215354543,144.53142784645456,71.2802768166111,33.78040082940642,ABCDE,2.000000000001023,1.9999999999992895,,,,,,,
7,strat_a_meanrev,2023-07-06 19:41:00+00:00,2023-07-06 22:00:00+00:00,long,strat_a_window,144.10000000000002,144.065,144.00000000000003,144.16000000000003,154.09000000000003,session_close,-3.500000000002501,-242.9458924792629,1000000,139.0,99895.06256340917,99652.11667092991,3.999999999996362,7.600000000002183,2023-07-06,strat_a_meanrev,0.0075,144.46033333333332,144.7113073333333,144.20935933333334,144.21927867575926,144.0902213242407,29.901960784316046,34.2222789929558,ABCDE,9.999999999999432,-0.35000000000027,,,,,,,
8,strat_a_meanrev,2023-07-11 16:54:00+00:00,2023-07-11 18:45:00+00:00,long,strat_a_window,140.386,140.406,140.406,140.446,150.376,sl_hit,4.000000000000625,284.8272566047321,1000000,111.0,99652.11667092991,99936.94392753465,6.399999999999295,9.399999999999409,2023-07-11,strat_a_meanrev,0.0075,141.87199999999999,142.531332,141.21266799999998,140.62349730290643,140.38250269709354,27.73109243697766,17.458082540609496,ABCDE,2.000000000001023,1.9999999999992895,,,,,,,
9,strat_a_meanrev,2023-07-11 17:06:00+00:00,2023-07-11 19:59:00+00:00,long,strat_a_window,140.33,140.37999999999997,140.35000000000002,140.39000000000001,150.32000000000002,partial_tp_then_be,5.499999999997839,391.77848052173016,1000000,173.0,99936.94392753465,100328.72240805638,14.199999999996749,3.8000000000010914,2023-07-11,strat_a_meanrev,0.0075,141.87199999999999,142.531332,141.21266799999998,140.62340936923096,140.338690630769,16.343490304714194,18.73453625934959,ABCDE,2.000000000001023,2.7499999999975127,,,,,,,
10,strat_b_breakout,2023-07-13 01:35:00+00:00,2023-07-13 02:00:00+00:00,long,strat_b_window,138.679,138.53,138.457624,138.88107142857143,148.669,session_close,-14.900000000000093,-338.00079405183203,314250,25.0,100328.72240805638,99990.72161400455,0.0,20.600000000001728,2023-07-13,strat_b_breakout,0.005,,,,,,,23.630169186782858,,22.137599999999225,-0.6730630239954022,138.56,138.292,138.426,26.800000000000068,normal_12_30,138.47463377615344,0.0022332721411948185
