block_id,start_date,end_date,trades,net_pnl,cumulative_pnl,classification,best_separator_value
1,2023-06-27,2023-10-17,37,1817.4390232019236,1817.4390232019236,profitable,0.10208490807124625
2,2023-10-31,2024-05-22,42,97.00877560555887,1914.4477988074825,profitable,0.09329597014363983
3,2024-05-28,2025-01-14,38,-803.1395680381554,1111.308230769327,losing,0.141059459253828
4,2025-01-15,2025-08-21,41,-1723.1571543357704,-611.8489235664433,losing,0.13794138860132032
5,2025-08-28,2026-02-05,43,1896.3664971333294,1284.517573566886,profitable,0.10506513687409474
6,2026-02-24,2026-02-24,2,106.75325432965981,1391.2708278965458,profitable,0.11742099491575812
