trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2025-06-27 17:42:00+00:00,2025-06-27 17:40:00+00:00,2,2025-06-27 17:50:00+00:00,short,144.8185,144.8085,144.8085,144.37033333333332,tp1_then_be_stop,4.126785714285575,36.86277054108108,4,129302,7.253571428571449,28.0,2025-06-28,8.0,50000.0,50036.86277054108,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.37033333333332,144.83408133333333,145.1205853333333,143.9065853333333,143.62008133333333,144.79369598286647,144.65024999999997,144.50680401713348,144.755,bullish,77.52293577981531,0.145071428571429
2,2025-07-01 20:48:00+00:00,2025-07-01 20:46:00+00:00,2,2025-07-01 22:00:00+00:00,long,143.43349999999998,143.3805,143.15349999999998,144.19566666666665,session_close,-5.299999999996885,-47.37380606146587,5,128160,6.0,28.0,2025-07-02,72.0,50036.86277054108,49989.48896447962,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.19566666666665,144.57155466666666,144.80377866666663,143.81977866666665,143.58755466666668,143.86957364249403,143.65939999999998,143.44922635750592,143.403,bullish,3.703703703712705,0.10121428571428785
3,2025-07-10 18:02:00+00:00,2025-07-10 18:01:00+00:00,1,2025-07-10 22:00:00+00:00,long,146.3225,146.2365,146.0425,146.58333333333334,session_close,-8.599999999998431,-76.81435209402544,3,130617,6.0,28.0,2025-07-11,238.0,49989.48896447962,49912.67461238559,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.58333333333334,146.94088533333334,147.16178133333335,146.22578133333334,146.00488533333333,146.51866492573475,146.41615,146.31363507426522,146.359,bearish,33.15217391304519,0.10285714285714473
4,2025-07-10 18:21:00+00:00,2025-07-10 18:17:00+00:00,4,2025-07-10 22:00:00+00:00,long,146.2585,146.2365,145.9785,146.58333333333334,session_close,-2.199999999999136,-19.641607943289618,4,130560,6.0,28.0,2025-07-11,219.0,49912.67461238559,49893.0330044423,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.58333333333334,146.94088533333334,147.16178133333335,146.22578133333334,146.00488533333333,146.53015134111644,146.38475,146.23934865888356,146.222,bullish,28.535353535357473,0.101857142857144
5,2025-07-23 18:30:00+00:00,2025-07-23 18:25:00+00:00,5,2025-07-23 20:01:00+00:00,long,146.4185,146.4895,146.42849999999999,146.95633333333333,tp1_then_trailing_stop,6.737502778821008,59.9998331000193,3,130451,6.375000000000293,28.0,2025-07-24,91.0,49893.0330044423,49953.03283754232,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.95633333333333,147.58434133333333,147.97232533333332,146.32832533333334,145.94034133333335,146.63134720352184,146.52720000000002,146.4230527964782,146.4605152,bearish,34.71074380165186,0.12750000000000586
6,2025-07-24 20:37:00+00:00,2025-07-24 20:35:00+00:00,2,2025-07-24 22:00:00+00:00,short,146.9635,147.1855,147.2435,146.601,session_close,-22.199999999998,-197.72917848563466,3,131094,6.0,28.0,2025-07-25,83.0,49953.03283754232,49755.303659056684,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.601,147.022728,147.28327199999998,146.179272,145.91872800000002,146.97686206490013,146.91635000000002,146.8558379350999,146.9139264,bullish,66.84636118598212,0.0681428571428516
7,2025-07-24 20:56:00+00:00,2025-07-24 20:55:00+00:00,1,2025-07-24 22:00:00+00:00,short,146.9955,147.1855,147.2755,146.601,session_close,-18.999999999999773,-169.26382014532481,4,131122,6.0,28.0,2025-07-25,64.0,49755.303659056684,49586.03983891136,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.601,147.022728,147.28327199999998,146.179272,145.91872800000002,147.01241428451024,146.927,146.84158571548974,147.028,bearish,71.51702786377625,0.06592857142856547
8,2025-07-25 20:27:00+00:00,2025-07-25 20:25:00+00:00,2,2025-07-27 21:04:00+00:00,short,147.64950000000002,147.7715,147.92950000000002,146.69266666666667,session_close,-12.199999999998568,-107.93715973647237,5,130738,6.0,28.0,2025-07-26,2917.0,49586.03983891136,49478.10267917489,TOKYO_MEANREV,tokyo_meanrev,tokyo,146.69266666666667,147.17704266666667,147.47629066666667,146.20829066666667,145.90904266666666,147.68555400957933,147.60325,147.52094599042067,147.6568897024,bullish,73.50427350427267,0.058285714285712435
9,2025-07-31 18:26:00+00:00,2025-07-31 18:25:00+00:00,1,2025-07-31 20:00:00+00:00,short,150.72050000000002,150.8205,150.8205,148.93433333333334,sl,-9.999999999999432,-247.2263385945404,4,372868,6.392857142857318,10.0,2025-08-01,94.0,49478.10267917489,49230.87634058035,TOKYO_MEANREV,tokyo_meanrev,tokyo,148.93433333333334,149.59672133333333,150.00594533333336,148.27194533333335,147.86272133333333,150.74088575325734,150.67069999999998,150.60051424674262,150.74201068800002,bearish,65.82733812949903,0.12785714285714636
10,2025-07-31 18:44:00+00:00,2025-07-31 18:43:00+00:00,1,2025-07-31 20:01:00+00:00,short,150.7495,150.8495,150.8495,148.93433333333334,sl,-9.999999999999432,-247.22587744737558,4,372939,6.10357142857144,10.0,2025-08-01,77.0,49230.87634058035,48983.65046313297,TOKYO_MEANREV,tokyo_meanrev,tokyo,148.93433333333334,149.59672133333333,150.00594533333336,148.27194533333335,147.86272133333333,150.76190360545206,150.6787,150.59549639454792,150.69529999999997,bullish,69.65517241379142,0.1220714285714288
11,2025-08-01 17:01:00+00:00,2025-08-01 17:00:00+00:00,1,2025-08-01 18:34:00+00:00,long,147.8775,147.7133333333333,147.7133333333333,150.0473333333333,sl,-16.41666666666879,-245.1897368777679,4,220616,12.0,16.41666666666879,2025-08-02,93.0,48983.65046313297,48738.46072625521,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.0473333333333,150.90836133333332,151.4403053333333,149.1863053333333,148.65436133333333,148.11996237687245,147.9924,147.86483762312756,147.971493792,bearish,34.251968503935885,0.27549999999999997
12,2025-08-13 20:33:00+00:00,2025-08-13 20:32:00+00:00,1,2025-08-13 22:00:00+00:00,long,147.39149999999998,147.3065,147.11149999999998,147.98233333333334,session_close,-8.499999999997954,-74.02059651133776,4,128279,6.0,28.0,2025-08-14,87.0,48738.46072625521,48664.440129743874,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.98233333333334,148.34179533333335,148.56387133333334,147.62287133333334,147.40079533333335,147.49076428400335,147.43125,147.37173571599666,147.352,bullish,32.608695652177275,0.05771428571428113
