trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
1,2026-01-07 19:12:00+00:00,2026-01-08 00:00:00+00:00,short,156.70350000000002,156.7635,156.9035,156.52566666666667,session_close,-5.999999999997385,-112.45691758599622,4,293819,2026-01-08,288.0,50000.0,49887.543082414006,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.52566666666667,156.74951866666666,156.88781466666669,156.30181466666667,156.16351866666665,156.7212687073994,156.65845,156.5956312926006,156.744,bearish,78.26086956521269,0.08578571428571179
2,2026-01-07 19:22:00+00:00,2026-01-08 00:00:00+00:00,short,156.7245,156.7635,156.9245,156.52566666666667,session_close,-3.8999999999987267,-73.10669894456464,4,293858,2026-01-08,278.0,49887.543082414006,49814.43638346944,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.52566666666667,156.74951866666666,156.88781466666669,156.30181466666667,156.16351866666665,156.73348912954378,156.6668,156.6001108704562,156.6913536,bullish,73.88888888888397,0.07957142857142685
3,2026-01-08 19:14:00+00:00,2026-01-08 22:09:00+00:00,short,156.9105,156.86249999999998,157.1105,156.62033333333335,tp1_then_trailing_stop,7.052725647841337,131.81298917536324,5,293115,2026-01-09,175.0,49814.43638346944,49946.2493726448,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.62033333333335,156.81744533333335,156.93922133333334,156.42322133333334,156.30144533333336,156.91470164904158,156.85785,156.80099835095845,156.902,bullish,75.11520737327243,0.07214285714285243
4,2026-01-08 19:44:00+00:00,2026-01-08 22:09:00+00:00,short,156.9605,156.86249999999998,157.16049999999998,156.62033333333335,tp1_then_trailing_stop,12.052733333332812,225.32857664700322,5,293208,2026-01-09,145.0,49946.2493726448,50171.5779492918,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.62033333333335,156.81744533333335,156.93922133333334,156.42322133333334,156.30144533333336,156.97067872071992,156.8861,156.80152127928008,156.93834169599998,bullish,74.17840375587105,0.06414285714285484
5,2026-01-11 22:05:00+00:00,2026-01-12 00:00:00+00:00,short,158.1105,158.1685,158.3105,157.63866666666664,session_close,-5.799999999999272,-109.08298428573224,4,297474,2026-01-12,115.0,50171.5779492918,50062.494965006066,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.63866666666664,158.17079266666664,158.49954066666663,157.10654066666663,156.77779266666664,158.01773720298877,157.91225,157.80676279701123,157.932,bullish,80.47619047619142,0.05185714285714279
6,2026-01-12 16:22:00+00:00,2026-01-13 00:00:00+00:00,short,158.07850000000002,158.0365,158.2785,157.63866666666664,session_close,4.200000000003001,78.8692105938116,3,296767,2026-01-13,458.0,50062.494965006066,50141.364175599876,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.63866666666664,158.17079266666664,158.49954066666663,157.10654066666663,156.77779266666664,158.05963803379748,157.9509,157.8421619662025,158.028,bullish,69.02356902357096,0.10228571428571342
7,2026-01-12 19:00:00+00:00,2026-01-13 00:00:00+00:00,short,158.1345,158.0365,158.3345,157.63866666666664,session_close,9.800000000001319,184.09326959280875,3,296872,2026-01-13,300.0,50141.364175599876,50325.45744519268,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.63866666666664,158.17079266666664,158.49954066666663,157.10654066666663,156.77779266666664,158.1429897526927,158.10335,158.0637102473073,158.13,bullish,65.49999999999893,0.07257142857142591
8,2026-01-13 20:35:00+00:00,2026-01-14 00:00:00+00:00,short,159.1465,159.22650000000002,159.22650000000002,157.9623333333333,sl,-8.00000000000125,-251.21446492892983,4,500000,2026-01-14,205.0,50325.45744519268,50074.24298026375,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.9623333333333,158.2270593333333,158.39060733333332,157.6976073333333,157.5340593333333,159.1545902942351,159.1072,159.0598097057649,159.108,bullish,67.39130434782967,0.057999999999998816
9,2026-01-13 23:48:00+00:00,2026-01-14 00:00:00+00:00,short,159.1695,159.2085,159.3695,158.75400000000002,session_close,-3.8999999999987267,-73.58284890565626,3,300385,2026-01-14,12.0,50074.24298026375,50000.66013135809,TOKYO_MEANREV,tokyo_meanrev,tokyo,158.75400000000002,159.24830800000004,159.553692,158.259692,157.95430800000003,159.19175043844726,159.14899999999997,159.1062495615527,159.206,bearish,65.86538461538967,0.03971428571427639
10,2026-01-18 22:27:00+00:00,2026-01-18 23:06:00+00:00,long,157.9235,157.7235,157.7235,158.21066666666667,sl,-19.999999999998863,-375.4798745906389,4,296110,2026-01-19,39.0,50000.66013135809,49625.18025676745,TOKYO_MEANREV,tokyo_meanrev,tokyo,158.21066666666667,158.54797266666665,158.75636066666667,157.87336066666668,157.66497266666667,158.20158735216103,158.0573,157.91301264783897,157.969,bearish,23.602484472047436,0.058928571428574675
